   W            M2-
 (MeV)      Re      Im
 2211.0    0.056   0.300
 2212.0    0.057   0.299
 2213.0    0.057   0.297
 2214.0    0.058   0.296
 2215.0    0.058   0.295
 2216.0    0.059   0.293
 2217.0    0.059   0.292
 2218.0    0.060   0.291
 2219.0    0.060   0.289
 2220.0    0.061   0.288
 2221.0    0.061   0.287
 2222.0    0.062   0.285
 2223.0    0.062   0.284
 2224.0    0.063   0.283
 2225.0    0.063   0.281
 2226.0    0.064   0.280
 2227.0    0.064   0.279
 2228.0    0.065   0.277
 2229.0    0.065   0.276
 2230.0    0.065   0.275
 2231.0    0.066   0.274
 2232.0    0.066   0.272
 2233.0    0.067   0.271
 2234.0    0.067   0.270
 2235.0    0.068   0.269
 2236.0    0.068   0.267
 2237.0    0.069   0.266
 2238.0    0.069   0.265
 2239.0    0.069   0.264
 2240.0    0.070   0.262
 2241.0    0.070   0.261
 2242.0    0.071   0.260
 2243.0    0.071   0.259
 2244.0    0.072   0.258
 2245.0    0.072   0.256
 2246.0    0.072   0.255
 2247.0    0.073   0.254
 2248.0    0.073   0.253
 2249.0    0.074   0.252
 2250.0    0.074   0.251
 2251.0    0.074   0.250
 2252.0    0.075   0.248
 2253.0    0.075   0.247
 2254.0    0.076   0.246
 2255.0    0.076   0.245
 2256.0    0.076   0.244
 2257.0    0.077   0.243
 2258.0    0.077   0.242
 2259.0    0.077   0.241
 2260.0    0.078   0.240
 2261.0    0.078   0.239
 2262.0    0.079   0.237
 2263.0    0.079   0.236
 2264.0    0.079   0.235
 2265.0    0.080   0.234
 2266.0    0.080   0.233
 2267.0    0.080   0.232
 2268.0    0.081   0.231
 2269.0    0.081   0.230
 2270.0    0.081   0.229
 2271.0    0.082   0.228
 2272.0    0.082   0.227
 2273.0    0.082   0.226
 2274.0    0.083   0.225
 2275.0    0.083   0.224
 2276.0    0.083   0.223
 2277.0    0.084   0.222
 2278.0    0.084   0.221
 2279.0    0.084   0.220
 2280.0    0.085   0.219
 2281.0    0.085   0.218
 2282.0    0.085   0.217
 2283.0    0.085   0.216
 2284.0    0.086   0.215
 2285.0    0.086   0.214
 2286.0    0.086   0.213
 2287.0    0.087   0.213
 2288.0    0.087   0.212
 2289.0    0.087   0.211
 2290.0    0.087   0.210
 2291.0    0.088   0.209
 2292.0    0.088   0.208
 2293.0    0.088   0.207
 2294.0    0.089   0.206
 2295.0    0.089   0.205
 2296.0    0.089   0.204
 2297.0    0.089   0.203
 2298.0    0.090   0.203
 2299.0    0.090   0.202
