   W         M3+(pi0_p)
 (MeV)      Re      Im
 1919.0   -0.049   1.038
 1920.0   -0.058   1.037
 1921.0   -0.066   1.036
 1922.0   -0.074   1.035
 1923.0   -0.082   1.033
 1924.0   -0.090   1.032
 1925.0   -0.098   1.030
 1926.0   -0.106   1.028
 1927.0   -0.114   1.025
 1928.0   -0.122   1.023
 1929.0   -0.130   1.020
 1930.0   -0.138   1.017
 1931.0   -0.146   1.015
 1932.0   -0.153   1.012
 1933.0   -0.161   1.009
 1934.0   -0.168   1.006
 1935.0   -0.176   1.003
 1936.0   -0.183   1.000
 1937.0   -0.190   0.997
 1938.0   -0.197   0.994
 1939.0   -0.204   0.990
 1940.0   -0.211   0.987
 1941.0   -0.218   0.983
 1942.0   -0.225   0.980
 1943.0   -0.232   0.976
 1944.0   -0.238   0.972
 1945.0   -0.245   0.968
 1946.0   -0.251   0.964
 1947.0   -0.258   0.960
 1948.0   -0.264   0.956
 1949.0   -0.271   0.952
 1950.0   -0.277   0.947
 1951.0   -0.283   0.943
 1952.0   -0.289   0.939
 1953.0   -0.295   0.934
 1954.0   -0.301   0.930
 1955.0   -0.307   0.925
 1956.0   -0.312   0.921
 1957.0   -0.318   0.916
 1958.0   -0.323   0.911
 1959.0   -0.329   0.907
 1960.0   -0.334   0.902
 1961.0   -0.339   0.897
 1962.0   -0.345   0.892
 1963.0   -0.350   0.888
 1964.0   -0.355   0.883
 1965.0   -0.359   0.878
 1966.0   -0.364   0.873
 1967.0   -0.369   0.868
 1968.0   -0.374   0.862
 1969.0   -0.378   0.857
 1970.0   -0.383   0.852
 1971.0   -0.387   0.847
