   W         M1+(pi+_n)
 (MeV)      Re         Im
 1626.0   -0.92359   -0.39911
 1627.0   -0.92126   -0.39978
 1628.0   -0.91992   -0.39944
 1629.0   -0.91726   -0.39911
 1630.0   -0.91592   -0.39978
 1631.0   -0.91292   -0.39944
 1632.0   -0.91125   -0.39911
 1633.0   -0.90825   -0.39878
 1634.0   -0.90625   -0.39844
 1635.0   -0.90425   -0.39811
 1636.0   -0.90225   -0.39878
 1637.0   -0.89892   -0.39844
 1638.0   -0.89658   -0.39778
 1639.0   -0.89425   -0.39744
 1640.0   -0.89158   -0.39711
 1641.0   -0.88825   -0.39678
 1642.0   -0.88558   -0.39511
 1643.0   -0.88291   -0.39478
 1644.0   -0.87991   -0.39444
 1645.0   -0.87591   -0.39378
 1646.0   -0.87324   -0.39344
 1647.0   -0.87091   -0.39178
 1648.0   -0.86791   -0.39144
 1649.0   -0.86457   -0.39078
 1650.0   -0.86157   -0.38944
 1651.0   -0.85924   -0.38878
 1652.0   -0.85591   -0.38811
 1653.0   -0.85224   -0.38677
 1654.0   -0.84890   -0.38611
 1655.0   -0.84524   -0.38444
 1656.0   -0.84157   -0.38377
 1657.0   -0.83890   -0.38244
 1658.0   -0.83590   -0.38177
 1659.0   -0.83223   -0.38011
 1660.0   -0.82923   -0.37844
 1661.0   -0.82623   -0.37777
 1662.0   -0.82223   -0.37611
 1663.0   -0.81923   -0.37444
 1664.0   -0.81589   -0.37377
 1665.0   -0.81189   -0.37210
 1666.0   -0.80856   -0.37010
 1667.0   -0.80523   -0.36844
 1668.0   -0.80089   -0.36677
 1669.0   -0.79756   -0.36610
 1670.0   -0.79289   -0.36410
 1671.0   -0.78955   -0.36243
 1672.0   -0.78689   -0.36043
 1673.0   -0.78322   -0.35877
 1674.0   -0.77955   -0.35677
 1675.0   -0.77688   -0.35510
 1676.0   -0.77322   -0.35310
 1677.0   -0.76955   -0.35210
 1678.0   -0.76555   -0.35043
 1679.0   -0.76288   -0.34843
 1680.0   -0.75888   -0.34643
 1681.0   -0.75488   -0.34443
 1682.0   -0.75088   -0.34243
 1683.0   -0.74788   -0.34043
 1684.0   -0.74387   -0.33843
 1685.0   -0.73954   -0.33643
 1686.0   -0.73654   -0.33443
 1687.0   -0.73254   -0.33243
 1688.0   -0.72920   -0.33043
 1689.0   -0.72587   -0.32843
 1690.0   -0.72287   -0.32609
 1691.0   -0.71853   -0.32409
 1692.0   -0.71520   -0.32209
 1693.0   -0.71187   -0.31976
 1694.0   -0.70720   -0.31776
 1695.0   -0.70386   -0.31575
 1696.0   -0.70053   -0.31342
 1697.0   -0.69719   -0.31109
 1698.0   -0.69453   -0.30909
 1699.0   -0.69119   -0.30675
 1700.0   -0.68753   -0.30475
 1701.0   -0.68486   -0.30242
 1702.0   -0.68152   -0.30008
 1703.0   -0.67786   -0.29775
 1704.0   -0.67419   -0.29542
 1705.0   -0.67152   -0.29308
 1706.0   -0.66785   -0.29108
 1707.0   -0.66419   -0.28875
 1708.0   -0.66152   -0.28641
 1709.0   -0.65785   -0.28375
 1710.0   -0.65485   -0.28141
 1711.0   -0.65118   -0.27908
 1712.0   -0.64851   -0.27674
 1713.0   -0.64451   -0.27441
 1714.0   -0.64185   -0.27208
 1715.0   -0.63818   -0.26941
 1716.0   -0.63518   -0.26707
 1717.0   -0.63251   -0.26474
 1718.0   -0.62951   -0.26207
 1719.0   -0.62751   -0.25974
 1720.0   -0.62484   -0.25707
 1721.0   -0.62184   -0.25474
 1722.0   -0.61884   -0.25307
 1723.0   -0.61517   -0.25074
 1724.0   -0.61217   -0.24807
 1725.0   -0.60917   -0.24574
 1726.0   -0.60617   -0.24307
 1727.0   -0.60350   -0.24040
 1728.0   -0.60050   -0.23873
 1729.0   -0.59750   -0.23640
 1730.0   -0.59450   -0.23373
 1731.0   -0.59150   -0.23106
 1732.0   -0.58950   -0.22940
 1733.0   -0.58650   -0.22673
 1734.0   -0.58450   -0.22406
 1735.0   -0.58150   -0.22240
 1736.0   -0.57950   -0.21973
 1737.0   -0.57649   -0.21706
 1738.0   -0.57349   -0.21539
 1739.0   -0.57149   -0.21273
 1740.0   -0.56849   -0.21006
 1741.0   -0.56649   -0.20839
 1742.0   -0.56349   -0.20572
 1743.0   -0.56149   -0.20306
 1744.0   -0.55849   -0.20139
 1745.0   -0.55649   -0.19839
 1746.0   -0.55349   -0.19672
 1747.0   -0.55149   -0.19405
 1748.0   -0.54849   -0.19239
 1749.0   -0.54649   -0.18939
 1750.0   -0.54449   -0.18772
 1751.0   -0.54148   -0.18472
 1752.0   -0.53915   -0.18305
 1753.0   -0.53715   -0.18138
 1754.0   -0.53515   -0.17838
 1755.0   -0.53315   -0.17672
 1756.0   -0.53015   -0.17372
 1757.0   -0.52815   -0.17205
 1758.0   -0.52515   -0.17005
 1759.0   -0.52315   -0.16738
 1760.0   -0.52015   -0.16538
 1761.0   -0.51814   -0.16338
 1762.0   -0.51614   -0.16171
 1763.0   -0.51414   -0.15871
 1764.0   -0.51214   -0.15704
 1765.0   -0.51114   -0.15504
 1766.0   -0.50914   -0.15304
 1767.0   -0.50714   -0.15038
 1768.0   -0.50514   -0.14837
 1769.0   -0.50214   -0.14637
 1770.0   -0.50014   -0.14437
 1771.0   -0.49814   -0.14271
 1772.0   -0.49647   -0.13971
 1773.0   -0.49447   -0.13771
 1774.0   -0.49247   -0.13570
 1775.0   -0.49047   -0.13370
 1776.0   -0.48847   -0.13170
 1777.0   -0.48647   -0.13004
 1778.0   -0.48447   -0.12804
 1779.0   -0.48380   -0.12604
 1780.0   -0.48180   -0.12403
 1781.0   -0.47980   -0.12203
 1782.0   -0.47780   -0.12003
 1783.0   -0.47613   -0.11803
 1784.0   -0.47413   -0.11603
 1785.0   -0.47313   -0.11403
 1786.0   -0.47113   -0.11203
 1787.0   -0.46946   -0.11003
 1788.0   -0.46746   -0.10803
 1789.0   -0.46546   -0.10603
 1790.0   -0.46380   -0.10403
 1791.0   -0.46180   -0.10203
