   W           M1+(p)
 (MeV)       Re      Im
 2170.0     0.475   0.437
 2171.0     0.475   0.435
 2172.0     0.475   0.433
 2173.0     0.475   0.431
 2174.0     0.475   0.430
 2175.0     0.475   0.428
 2176.0     0.475   0.426
 2177.0     0.475   0.424
 2178.0     0.475   0.423
 2179.0     0.475   0.421
 2180.0     0.475   0.419
 2181.0     0.475   0.418
 2182.0     0.476   0.416
 2183.0     0.476   0.414
 2184.0     0.476   0.413
 2185.0     0.476   0.411
 2186.0     0.476   0.409
 2187.0     0.476   0.408
 2188.0     0.476   0.406
 2189.0     0.477   0.405
 2190.0     0.477   0.403
 2191.0     0.477   0.401
 2192.0     0.477   0.400
 2193.0     0.477   0.398
 2194.0     0.477   0.397
 2195.0     0.477   0.395
 2196.0     0.478   0.393
 2197.0     0.478   0.392
 2198.0     0.478   0.390
 2199.0     0.478   0.389
 2200.0     0.478   0.387
