   W         E1+(pi0_p)
 (MeV)      Re      Im
 1674.0    0.302   0.422
 1675.0    0.300   0.426
 1676.0    0.299   0.430
 1677.0    0.297   0.433
 1678.0    0.295   0.437
 1679.0    0.293   0.440
 1680.0    0.291   0.444
 1681.0    0.289   0.447
 1682.0    0.286   0.451
 1683.0    0.284   0.454
 1684.0    0.281   0.458
 1685.0    0.279   0.461
 1686.0    0.276   0.464
 1687.0    0.274   0.468
 1688.0    0.271   0.471
 1689.0    0.268   0.474
 1690.0    0.265   0.477
 1691.0    0.262   0.480
 1692.0    0.259   0.483
 1693.0    0.256   0.486
 1694.0    0.253   0.489
 1695.0    0.249   0.492
 1696.0    0.246   0.495
 1697.0    0.243   0.498
 1698.0    0.239   0.500
 1699.0    0.236   0.503
 1700.0    0.232   0.506
 1701.0    0.228   0.508
 1702.0    0.225   0.510
 1703.0    0.221   0.513
 1704.0    0.217   0.515
 1705.0    0.213   0.517
 1706.0    0.209   0.519
 1707.0    0.205   0.522
 1708.0    0.201   0.523
 1709.0    0.197   0.525
 1710.0    0.193   0.527
 1711.0    0.189   0.529
 1712.0    0.185   0.531
 1713.0    0.181   0.532
 1714.0    0.176   0.534
 1715.0    0.172   0.535
 1716.0    0.168   0.536
 1717.0    0.164   0.538
 1718.0    0.159   0.539
 1719.0    0.155   0.540
 1720.0    0.150   0.541
 1721.0    0.146   0.542
 1722.0    0.142   0.542
 1723.0    0.137   0.543
 1724.0    0.133   0.544
 1725.0    0.128   0.544
 1726.0    0.124   0.545
 1727.0    0.119   0.545
 1728.0    0.115   0.545
 1729.0    0.111   0.546
 1730.0    0.106   0.546
 1731.0    0.102   0.546
 1732.0    0.097   0.546
 1733.0    0.093   0.545
 1734.0    0.089   0.545
 1735.0    0.084   0.545
 1736.0    0.080   0.545
 1737.0    0.076   0.544
 1738.0    0.071   0.544
 1739.0    0.067   0.543
 1740.0    0.063   0.542
 1741.0    0.058   0.542
 1742.0    0.054   0.541
 1743.0    0.050   0.540
 1744.0    0.046   0.539
 1745.0    0.042   0.538
 1746.0    0.038   0.537
