   W         E2-(pi0_p)
 (MeV)      Re      Im
 1937.0    0.516   0.079
 1938.0    0.517   0.081
 1939.0    0.517   0.083
 1940.0    0.518   0.084
 1941.0    0.519   0.086
 1942.0    0.519   0.088
 1943.0    0.520   0.089
 1944.0    0.520   0.091
 1945.0    0.521   0.092
 1946.0    0.522   0.094
 1947.0    0.522   0.095
 1948.0    0.523   0.097
 1949.0    0.524   0.098
 1950.0    0.524   0.099
 1951.0    0.525   0.101
 1952.0    0.526   0.102
 1953.0    0.526   0.103
 1954.0    0.527   0.105
 1955.0    0.528   0.106
 1956.0    0.528   0.107
 1957.0    0.529   0.108
 1958.0    0.530   0.109
 1959.0    0.531   0.110
 1960.0    0.531   0.112
 1961.0    0.532   0.113
 1962.0    0.533   0.114
 1963.0    0.534   0.115
 1964.0    0.534   0.116
 1965.0    0.535   0.117
 1966.0    0.536   0.118
 1967.0    0.537   0.119
 1968.0    0.538   0.120
 1969.0    0.539   0.120
 1970.0    0.540   0.121
 1971.0    0.541   0.122
