   W         M6+(pi+_n)
 (MeV)      Re         Im
 1770.0   -0.022742   0.000329
 1771.0   -0.022742   0.000323
 1772.0   -0.022743   0.000318
 1773.0   -0.022743   0.000312
 1774.0   -0.022743   0.000307
 1775.0   -0.022744   0.000301
 1776.0   -0.022744   0.000296
 1777.0   -0.022744   0.000290
 1778.0   -0.022744   0.000285
 1779.0   -0.022743   0.000279
 1780.0   -0.022743   0.000274
 1781.0   -0.022743   0.000268
 1782.0   -0.022743   0.000262
 1783.0   -0.022742   0.000257
 1784.0   -0.022742   0.000251
 1785.0   -0.022741   0.000246
 1786.0   -0.022741   0.000240
 1787.0   -0.022740   0.000235
 1788.0   -0.022739   0.000229
 1789.0   -0.022738   0.000223
 1790.0   -0.022737   0.000218
 1791.0   -0.022736   0.000212
 1792.0   -0.022735   0.000206
 1793.0   -0.022734   0.000201
 1794.0   -0.022733   0.000195
 1795.0   -0.022732   0.000190
 1796.0   -0.022730   0.000184
 1797.0   -0.022729   0.000178
 1798.0   -0.022727   0.000172
 1799.0   -0.022726   0.000167
 1800.0   -0.022724   0.000161
 1801.0   -0.022722   0.000155
 1802.0   -0.022720   0.000150
 1803.0   -0.022718   0.000144
 1804.0   -0.022717   0.000138
 1805.0   -0.022715   0.000133
 1806.0   -0.022712   0.000127
 1807.0   -0.022710   0.000121
 1808.0   -0.022708   0.000115
 1809.0   -0.022706   0.000110
 1810.0   -0.022703   0.000104
 1811.0   -0.022701   0.000098
 1812.0   -0.022698   0.000092
 1813.0   -0.022696   0.000087
 1814.0   -0.022693   0.000081
 1815.0   -0.022691   0.000075
 1816.0   -0.022688   0.000069
 1817.0   -0.022685   0.000064
 1818.0   -0.022682   0.000058
 1819.0   -0.022679   0.000052
 1820.0   -0.022676   0.000046
 1821.0   -0.022673   0.000041
 1822.0   -0.022669   0.000035
 1823.0   -0.022666   0.000029
 1824.0   -0.022663   0.000024
 1825.0   -0.022660   0.000018
 1826.0   -0.022656   0.000012
 1827.0   -0.022652   0.000006
 1828.0   -0.022649   0.000000
 1829.0   -0.022645  -0.000005
 1830.0   -0.022642  -0.000011
 1831.0   -0.022638  -0.000017
 1832.0   -0.022634  -0.000023
 1833.0   -0.022630  -0.000029
 1834.0   -0.022626  -0.000034
 1835.0   -0.022622  -0.000040
 1836.0   -0.022618  -0.000046
 1837.0   -0.022614  -0.000052
 1838.0   -0.022609  -0.000058
 1839.0   -0.022605  -0.000063
 1840.0   -0.022601  -0.000069
 1841.0   -0.022596  -0.000075
 1842.0   -0.022592  -0.000081
 1843.0   -0.022587  -0.000086
 1844.0   -0.022583  -0.000092
 1845.0   -0.022578  -0.000098
 1846.0   -0.022573  -0.000104
 1847.0   -0.022568  -0.000109
 1848.0   -0.022564  -0.000115
 1849.0   -0.022559  -0.000121
 1850.0   -0.022554  -0.000127
 1851.0   -0.022549  -0.000132
 1852.0   -0.022544  -0.000138
 1853.0   -0.022538  -0.000144
 1854.0   -0.022533  -0.000149
 1855.0   -0.022528  -0.000155
 1856.0   -0.022523  -0.000161
 1857.0   -0.022517  -0.000167
 1858.0   -0.022512  -0.000172
 1859.0   -0.022506  -0.000178
 1860.0   -0.022501  -0.000184
 1861.0   -0.022495  -0.000190
 1862.0   -0.022489  -0.000195
 1863.0   -0.022484  -0.000201
 1864.0   -0.022478  -0.000207
 1865.0   -0.022472  -0.000212
 1866.0   -0.022466  -0.000218
 1867.0   -0.022460  -0.000224
 1868.0   -0.022454  -0.000229
 1869.0   -0.022448  -0.000235
 1870.0   -0.022442  -0.000241
 1871.0   -0.022436  -0.000246
 1872.0   -0.022429  -0.000252
 1873.0   -0.022423  -0.000257
 1874.0   -0.022417  -0.000263
 1875.0   -0.022410  -0.000269
 1876.0   -0.022404  -0.000274
 1877.0   -0.022397  -0.000280
 1878.0   -0.022391  -0.000285
 1879.0   -0.022384  -0.000291
 1880.0   -0.022378  -0.000297
 1881.0   -0.022371  -0.000302
 1882.0   -0.022364  -0.000308
 1883.0   -0.022357  -0.000313
 1884.0   -0.022350  -0.000319
 1885.0   -0.022344  -0.000324
