  727.2000  10
    0.5934    0.1921    0.0117
    0.4022    0.2042    0.0133
    0.2011    0.1690    0.0109
   -0.0001    0.1272    0.0098
   -0.1970    0.0813    0.0082
   -0.4022    0.0578    0.0072
   -0.6070    0.0330    0.0055
   -0.8019    0.0204    0.0038
   -0.9428    0.0114    0.0032
 1063.0000  10
    0.7772    0.1640    0.0121
    0.5934    0.2148    0.0121
    0.4022    0.2012    0.0131
    0.2011    0.1704    0.0101
   -0.0001    0.1345    0.0100
   -0.1970    0.0797    0.0078
   -0.4022    0.0474    0.0065
   -0.6070    0.0270    0.0051
   -0.8019    0.0154    0.0036
   -0.9428    0.0089    0.0030
 1070.2000  10
    0.7772    0.1861    0.0127
    0.5934    0.2093    0.0114
    0.4022    0.2165    0.0137
    0.2011    0.1874    0.0111
   -0.0001    0.1421    0.0104
   -0.1970    0.0858    0.0085
   -0.4022    0.0484    0.0070
   -0.6070    0.0241    0.0052
   -0.8019    0.0109    0.0035
   -0.9428    0.0070    0.0033
 1077.3000  10
    0.7772    0.2226    0.0142
    0.5934    0.2159    0.0127
    0.4022    0.2260    0.0145
    0.2011    0.1947    0.0113
   -0.0001    0.1454    0.0105
   -0.1970    0.0857    0.0084
   -0.4022    0.0406    0.0064
   -0.6070    0.0215    0.0055
   -0.8019    0.0066    0.0034
   -0.9428    0.0039    0.0030
 1084.3000  10
    0.7772    0.1962    0.0135
