   W                 E3-_3/2
 (MeV)      Re       DRe      Im       DIm
1666.517   -0.321    0.119    0.181    0.035
1668.660    0.010    0.120    0.251    0.034
1670.891   -0.079    0.120    0.245    0.034
1673.063   -0.115    0.121    0.247    0.033
1675.232   -0.324    0.121    0.272    0.035
1677.392   -0.266    0.121    0.311    0.032
1679.545   -0.313    0.120    0.307    0.032
1681.694   -0.351    0.119    0.306    0.029
1683.829   -0.408    0.121    0.317    0.032
1685.957   -0.102    0.119    0.546    0.033
1688.087   -0.129    0.120    0.542    0.033
1690.159   -0.311    0.118    0.441    0.042
1692.306   -0.412    0.118    0.391    0.046
1694.400   -0.450    0.116    0.358    0.047
1696.492   -0.454    0.111    0.286    0.050
1698.576   -0.382    0.112    0.451    0.052
1700.646   -0.416    0.114    0.486    0.052
1702.714   -0.413    0.112    0.461    0.052
1704.773   -0.440    0.110    0.420    0.053
1706.825   -0.469    0.109    0.385    0.054
1708.874   -0.570    0.108    0.317    0.069
1710.872   -0.516    0.104    0.543    0.070
1712.938   -0.526    0.102    0.516    0.068
1714.953   -0.532    0.099    0.476    0.069
1716.965   -0.599    0.092    0.090    0.100
1718.969   -0.610    0.100    0.178    0.114
1724.930   -0.671    0.073    0.033    0.090
1726.904   -0.657    0.071   -0.008    0.090
1730.827   -0.666    0.069   -0.015    0.083
1735.678   -0.698    0.062   -0.126    0.083
1739.528   -0.753    0.052   -0.254    0.086
1745.241   -0.660    0.050   -0.171    0.079
1749.001   -0.612    0.048   -0.182    0.074
1753.678   -0.527    0.049   -0.367    0.063
1759.212   -0.345    0.052   -0.529    0.066
1763.766   -0.280    0.057   -0.592    0.069
1767.385   -0.271    0.052   -0.444    0.067
1770.965   -0.315    0.052   -0.480    0.068
1774.511   -0.357    0.068   -0.464    0.077
1778.029   -0.382    0.053   -0.321    0.074
1781.509   -0.276    0.059   -0.447    0.070
1784.971   -0.384    0.058   -0.363    0.068
1790.094   -0.451    0.044   -0.238    0.067
1793.471   -0.437    0.045   -0.235    0.066
1796.806   -0.384    0.048   -0.209    0.063
1800.129   -0.487    0.060   -0.252    0.064
1803.415   -0.475    0.057   -0.240    0.064
1806.669   -0.391    0.069    0.033    0.098
1809.896   -0.398    0.049   -0.091    0.091
1813.082   -0.406    0.053   -0.097    0.077
1816.251   -0.389    0.056   -0.109    0.088
1819.390   -0.327    0.071   -0.055    0.089
1822.497   -0.454    0.043   -0.044    0.067
1825.562   -0.538    0.050    0.245    0.103
1828.623   -0.526    0.052    0.257    0.102
1831.643   -0.534    0.051    0.256    0.101
1834.637   -0.538    0.052    0.261    0.101
1838.336   -0.384    0.087    0.157    0.123
1841.997   -0.407    0.083    0.235    0.114
1844.898   -0.419    0.095    0.245    0.109
1847.754   -0.423    0.059    0.265    0.065
1852.035   -0.375    0.054    0.150    0.069
1854.976   -0.346    0.059    0.148    0.064
1858.008   -0.349    0.057    0.183    0.064
1861.147   -0.339    0.059    0.178    0.062
1864.365   -0.329    0.065    0.130    0.063
1869.276   -0.370    0.072    0.235    0.095
1872.541   -0.314    0.075    0.149    0.084
1875.750   -0.411    0.091    0.236    0.103
1878.864   -0.401    0.064    0.208    0.075
1887.394   -0.295    0.053    0.123    0.065
1889.902   -0.298    0.053    0.101    0.074
1894.385   -0.277    0.054    0.030    0.036
