   W                 E3+_3/2
 (MeV)      Re       DRe      Im       DIm
1726.904   -0.119    0.022    0.054    0.016
1730.827   -0.089    0.021    0.068    0.014
1735.678   -0.086    0.020    0.072    0.016
1739.528   -0.107    0.018    0.044    0.017
1745.241   -0.122    0.020    0.020    0.016
1749.001   -0.149    0.020    0.034    0.015
1753.678   -0.065    0.022    0.087    0.019
1759.212   -0.026    0.020    0.104    0.022
1763.766   -0.018    0.023    0.134    0.024
1767.385    0.010    0.024    0.138    0.023
1770.965    0.001    0.023    0.130    0.023
1774.511   -0.016    0.022    0.146    0.028
1778.029   -0.116    0.038   -0.020    0.031
1781.509    0.014    0.024    0.173    0.032
1784.971    0.024    0.023    0.178    0.029
1790.094   -0.006    0.020    0.088    0.025
1793.471    0.007    0.020    0.104    0.026
1796.806    0.007    0.021    0.105    0.024
1800.129    0.042    0.025    0.203    0.026
1803.415    0.050    0.025    0.196    0.027
1806.669   -0.031    0.054    0.027    0.041
1809.896   -0.038    0.050    0.057    0.044
1813.082   -0.015    0.045    0.079    0.043
1816.251   -0.045    0.049    0.051    0.047
1819.390   -0.097    0.049    0.029    0.035
1822.497    0.028    0.030    0.101    0.032
1825.562    0.119    0.022    0.081    0.039
1828.623    0.119    0.023    0.082    0.040
1831.643    0.117    0.022    0.084    0.039
1834.637    0.127    0.022    0.089    0.041
1838.336   -0.040    0.052    0.012    0.024
1841.997   -0.039    0.058   -0.015    0.024
1844.898   -0.064    0.052   -0.019    0.022
1847.754   -0.164    0.025   -0.027    0.015
1852.035   -0.182    0.024   -0.025    0.016
1854.976   -0.186    0.026   -0.042    0.016
1858.008   -0.171    0.025   -0.034    0.016
1861.147   -0.174    0.026   -0.037    0.016
1864.365   -0.200    0.031   -0.054    0.018
1869.276   -0.157    0.030   -0.029    0.014
1872.541   -0.192    0.028   -0.027    0.015
1875.750   -0.168    0.036   -0.023    0.015
1878.864   -0.184    0.025   -0.002    0.014
1887.394   -0.178    0.022   -0.010    0.017
1889.902   -0.188    0.024   -0.024    0.019
1894.385   -0.137    0.025   -0.060    0.019
