   W                 E1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1781.509    0.444    0.032    0.008    0.049
1784.971    0.411    0.030    0.038    0.045
1790.094    0.425    0.029    0.245    0.040
1793.471    0.444    0.030    0.244    0.041
1796.806    0.424    0.030    0.232    0.041
1800.129    0.311    0.030   -0.063    0.042
1803.415    0.320    0.029   -0.073    0.042
1806.669    0.341    0.022   -0.072    0.038
1809.896    0.390    0.025    0.086    0.040
1813.082    0.399    0.024    0.075    0.041
1816.251    0.398    0.027    0.091    0.038
1819.390    0.385    0.030    0.102    0.040
1822.497    0.416    0.022    0.073    0.042
1825.562    0.408    0.026    0.020    0.043
1828.623    0.412    0.026    0.022    0.043
1831.643    0.416    0.026    0.021    0.043
1834.637    0.426    0.026    0.033    0.042
1838.336    0.361    0.032    0.092    0.052
1841.997    0.359    0.029    0.087    0.053
1844.898    0.363    0.031    0.110    0.046
1847.754    0.397    0.036   -0.044    0.041
1852.035    0.386    0.043   -0.058    0.041
1854.976    0.398    0.047   -0.048    0.041
1858.008    0.404    0.048   -0.048    0.041
1861.147    0.406    0.051   -0.048    0.041
1864.365    0.411    0.054   -0.043    0.042
1869.276    0.428    0.034   -0.065    0.041
1872.541    0.409    0.039   -0.060    0.040
1875.750    0.414    0.035    0.015    0.028
1878.864    0.404    0.032    0.021    0.026
1887.394    0.360    0.033   -0.016    0.027
1889.902    0.361    0.037   -0.016    0.028
1894.385    0.326    0.026   -0.045    0.028
