   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1664.308   -0.784    0.060    0.180    0.026
1666.517   -0.780    0.061    0.178    0.027
1668.660   -0.674    0.119    0.179    0.045
1670.891   -0.701    0.119    0.160    0.046
1673.063   -0.699    0.119    0.161    0.045
1675.232   -0.630    0.120    0.140    0.046
1677.392   -0.718    0.083    0.123    0.035
1679.545   -0.723    0.083    0.107    0.035
1681.694   -0.708    0.080    0.120    0.033
1683.829   -0.685    0.079    0.138    0.033
1685.957   -0.560    0.070    0.153    0.035
1688.087   -0.555    0.070    0.150    0.035
1690.159   -0.570    0.071    0.112    0.036
1692.306   -0.503    0.072    0.175    0.035
1694.400   -0.509    0.071    0.164    0.035
1696.492   -0.566    0.073    0.134    0.037
1698.576   -0.655    0.058    0.072    0.034
1700.646   -0.631    0.057    0.062    0.035
1702.714   -0.533    0.062    0.105    0.037
1704.773   -0.534    0.062    0.095    0.038
1706.825   -0.528    0.062    0.093    0.038
1708.874   -0.600    0.061    0.071    0.036
1710.872   -0.667    0.042    0.011    0.029
1712.938   -0.663    0.041    0.001    0.029
1714.953   -0.669    0.040   -0.012    0.029
1716.965   -0.589    0.046   -0.052    0.033
1718.969   -0.629    0.048   -0.006    0.035
1724.930   -0.483    0.044   -0.035    0.029
1726.904   -0.480    0.044   -0.024    0.030
1730.827   -0.525    0.040   -0.055    0.025
1735.678   -0.512    0.041   -0.106    0.025
1739.528   -0.434    0.040   -0.114    0.026
1745.241   -0.352    0.029   -0.216    0.026
1749.001   -0.360    0.030   -0.219    0.026
1753.678   -0.372    0.027   -0.113    0.026
1759.212   -0.425    0.025   -0.101    0.020
1763.766   -0.438    0.026   -0.081    0.022
1767.385   -0.387    0.026   -0.018    0.022
1770.965   -0.373    0.026   -0.022    0.022
1774.511   -0.397    0.027   -0.015    0.022
1778.029   -0.378    0.025    0.054    0.031
1781.509   -0.509    0.022    0.023    0.022
1784.971   -0.484    0.022    0.029    0.021
1790.094   -0.320    0.026    0.048    0.024
1793.471   -0.330    0.026    0.030    0.025
1796.806   -0.324    0.026    0.032    0.024
1800.129   -0.303    0.025    0.069    0.025
1803.415   -0.285    0.026    0.088    0.024
1806.669   -0.233    0.025    0.092    0.027
1809.896   -0.370    0.026    0.102    0.025
1813.082   -0.369    0.028    0.099    0.026
1816.251   -0.362    0.027    0.080    0.028
1819.390   -0.350    0.027    0.072    0.029
1822.497   -0.309    0.028    0.113    0.027
1825.562   -0.348    0.034    0.200    0.028
