   W          M2+(pi0_p)
 (MeV)       Re        Im
 1692.00    0.74986  -0.00482
 1693.00    0.75188  -0.00510
 1694.00    0.75391  -0.00538
 1695.00    0.75595  -0.00567
 1696.00    0.75800  -0.00595
 1697.00    0.76005  -0.00623
 1698.00    0.76211  -0.00652
 1699.00    0.76418  -0.00680
 1700.00    0.76625  -0.00709
 1701.00    0.76833  -0.00737
 1702.00    0.77042  -0.00765
 1703.00    0.77251  -0.00793
 1704.00    0.77461  -0.00821
 1705.00    0.77672  -0.00849
 1706.00    0.77883  -0.00877
 1707.00    0.78095  -0.00904
 1708.00    0.78307  -0.00931
 1709.00    0.78520  -0.00958
 1710.00    0.78733  -0.00984
 1711.00    0.78946  -0.01010
 1712.00    0.79160  -0.01036
 1713.00    0.79374  -0.01062
 1714.00    0.79589  -0.01087
 1715.00    0.79803  -0.01112
 1716.00    0.80018  -0.01137
 1717.00    0.80234  -0.01161
 1718.00    0.80450  -0.01185
 1719.00    0.80665  -0.01209
 1720.00    0.80882  -0.01232
 1721.00    0.81098  -0.01255
 1722.00    0.81315  -0.01278
 1723.00    0.81532  -0.01300
 1724.00    0.81749  -0.01322
 1725.00    0.81966  -0.01344
 1726.00    0.82184  -0.01365
 1727.00    0.82401  -0.01386
 1728.00    0.82619  -0.01407
 1729.00    0.82837  -0.01427
 1730.00    0.83055  -0.01447
 1731.00    0.83273  -0.01467
 1732.00    0.83491  -0.01486
 1733.00    0.83709  -0.01506
 1734.00    0.83928  -0.01524
 1735.00    0.84146  -0.01543
 1736.00    0.84364  -0.01561
 1737.00    0.84583  -0.01579
 1738.00    0.84801  -0.01597
 1739.00    0.85020  -0.01614
 1740.00    0.85238  -0.01631
 1741.00    0.85456  -0.01648
 1742.00    0.85675  -0.01664
 1743.00    0.85893  -0.01680
 1744.00    0.86111  -0.01696
 1745.00    0.86329  -0.01711
 1746.00    0.86548  -0.01726
 1747.00    0.86766  -0.01741
 1748.00    0.86984  -0.01756
 1749.00    0.87202  -0.01770
 1750.00    0.87420  -0.01785
 1751.00    0.87638  -0.01799
 1752.00    0.87856  -0.01813
 1753.00    0.88073  -0.01826
 1754.00    0.88291  -0.01840
 1755.00    0.88509  -0.01853
 1756.00    0.88726  -0.01866
 1757.00    0.88943  -0.01879
 1758.00    0.89161  -0.01891
 1759.00    0.89378  -0.01903
 1760.00    0.89594  -0.01915
 1761.00    0.89811  -0.01927
 1762.00    0.90027  -0.01939
 1763.00    0.90243  -0.01950
 1764.00    0.90459  -0.01961
 1765.00    0.90675  -0.01972
 1766.00    0.90890  -0.01982
 1767.00    0.91105  -0.01993
 1768.00    0.91321  -0.02003
 1769.00    0.91536  -0.02013
 1770.00    0.91751  -0.02023
 1771.00    0.91966  -0.02033
 1772.00    0.92180  -0.02043
 1773.00    0.92395  -0.02052
 1774.00    0.92610  -0.02062
 1775.00    0.92824  -0.02071
 1776.00    0.93039  -0.02080
 1777.00    0.93253  -0.02090
 1778.00    0.93467  -0.02099
 1779.00    0.93681  -0.02107
 1780.00    0.93894  -0.02116
 1781.00    0.94108  -0.02125
 1782.00    0.94321  -0.02133
 1783.00    0.94534  -0.02142
 1784.00    0.94747  -0.02150
 1785.00    0.94959  -0.02158
 1786.00    0.95172  -0.02167
 1787.00    0.95384  -0.02175
 1788.00    0.95596  -0.02183
 1789.00    0.95808  -0.02190
 1790.00    0.96020  -0.02198
 1791.00    0.96232  -0.02206
 1792.00    0.96443  -0.02213
 1793.00    0.96654  -0.02221
 1794.00    0.96866  -0.02228
 1795.00    0.97077  -0.02235
 1796.00    0.97287  -0.02242
 1797.00    0.97498  -0.02249
 1798.00    0.97709  -0.02256
 1799.00    0.97919  -0.02263
 1800.00    0.98129  -0.02270
 1801.00    0.98339  -0.02276
 1802.00    0.98549  -0.02283
 1803.00    0.98758  -0.02289
 1804.00    0.98968  -0.02296
 1805.00    0.99177  -0.02302
 1806.00    0.99386  -0.02308
 1807.00    0.99594  -0.02314
 1808.00    0.99803  -0.02320
 1809.00    1.00011  -0.02326
 1810.00    1.00219  -0.02332
 1811.00    1.00426  -0.02338
 1812.00    1.00634  -0.02344
 1813.00    1.00841  -0.02349
 1814.00    1.01048  -0.02355
 1815.00    1.01255  -0.02361
 1816.00    1.01461  -0.02366
 1817.00    1.01668  -0.02372
 1818.00    1.01874  -0.02377
 1819.00    1.02080  -0.02383
 1820.00    1.02286  -0.02388
 1821.00    1.02491  -0.02393
 1822.00    1.02697  -0.02398
 1823.00    1.02903  -0.02403
 1824.00    1.03108  -0.02408
 1825.00    1.03313  -0.02413
 1826.00    1.03519  -0.02418
 1827.00    1.03724  -0.02423
 1828.00    1.03928  -0.02428
 1829.00    1.04133  -0.02432
 1830.00    1.04338  -0.02437
 1831.00    1.04542  -0.02442
 1832.00    1.04746  -0.02447
 1833.00    1.04951  -0.02452
 1834.00    1.05155  -0.02456
 1835.00    1.05358  -0.02461
 1836.00    1.05562  -0.02466
 1837.00    1.05766  -0.02471
 1838.00    1.05969  -0.02475
 1839.00    1.06172  -0.02480
 1840.00    1.06375  -0.02484
 1841.00    1.06578  -0.02489
 1842.00    1.06781  -0.02493
 1843.00    1.06984  -0.02497
 1844.00    1.07186  -0.02501
 1845.00    1.07388  -0.02505
 1846.00    1.07590  -0.02509
 1847.00    1.07792  -0.02513
 1848.00    1.07994  -0.02517
 1849.00    1.08195  -0.02521
 1850.00    1.08397  -0.02525
 1851.00    1.08598  -0.02528
 1852.00    1.08799  -0.02532
 1853.00    1.08999  -0.02536
 1854.00    1.09200  -0.02539
 1855.00    1.09400  -0.02543
 1856.00    1.09600  -0.02546
 1857.00    1.09800  -0.02550
 1858.00    1.10000  -0.02553
 1859.00    1.10200  -0.02556
 1860.00    1.10399  -0.02559
 1861.00    1.10599  -0.02562
 1862.00    1.10798  -0.02565
 1863.00    1.10997  -0.02568
 1864.00    1.11196  -0.02571
 1865.00    1.11395  -0.02573
 1866.00    1.11594  -0.02576
 1867.00    1.11793  -0.02579
 1868.00    1.11992  -0.02581
 1869.00    1.12190  -0.02583
 1870.00    1.12388  -0.02586
 1871.00    1.12586  -0.02588
 1872.00    1.12785  -0.02590
 1873.00    1.12983  -0.02592
 1874.00    1.13180  -0.02595
 1875.00    1.13378  -0.02597
 1876.00    1.13576  -0.02599
 1877.00    1.13773  -0.02600
 1878.00    1.13970  -0.02602
 1879.00    1.14167  -0.02604
