E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
 91.910    15.993700     0.049700     0.199915
 88.090    15.897300     0.049200     0.198699
 84.260    15.724500     0.048600     0.196582
 80.410    15.647900     0.048400     0.195601
 76.510    15.350400     0.047600     0.191884
 72.540    15.009100     0.047000     0.187602
 68.490    14.600100     0.046300     0.182519
 64.320    14.078500     0.045400     0.175937
 60.000    13.500000     0.044600     0.168704
 55.480    12.821500     0.043900     0.160297
 50.700    12.054100     0.043400     0.150674
 45.570    10.994100     0.042400     0.137407
 39.940    10.119900     0.043000     0.126491
 33.560     8.942200     0.043800     0.111828
 25.840     7.735700     0.047000     0.096681
 14.840     6.198500     0.056900     0.077444
----------------------------------------------------------
E =  274.510 MeV, E_lo =  272.340 MeV, E_hi =  276.680 MeV
Systematic = 0.1783, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     8.671500     0.041800     0.108421
154.160    10.069500     0.043300     0.125860
146.440    11.160100     0.044400     0.139505
140.060    12.172400     0.045700     0.152186
134.430    13.086400     0.047000     0.163582
129.300    13.923500     0.048300     0.174021
124.520    14.666800     0.049300     0.183285
120.000    15.339800     0.050200     0.191737
115.680    15.975400     0.051200     0.199742
111.510    16.388700     0.051700     0.204878
107.460    16.877200     0.052300     0.210912
103.490    17.335800     0.052900     0.216738
 99.590    17.453700     0.052600     0.218148
 95.740    17.625200     0.052500     0.220332
 91.910    17.680800     0.052400     0.220972
 88.090    17.624600     0.051800     0.220292
 84.260    17.522700     0.051500     0.219027
 80.410    17.306500     0.050900     0.216292
 76.510    17.065200     0.050300     0.213351
 72.540    16.659500     0.049400     0.208220
 68.490    16.325300     0.049000     0.204100
 64.320    15.683700     0.047800     0.196057
 60.000    14.994900     0.046700     0.187471
 55.480    14.205000     0.045800     0.177589
 50.700    13.358500     0.045100     0.167018
 45.570    12.274500     0.044100     0.153490
 39.940    11.103700     0.044000     0.138793
 33.560     9.899700     0.044900     0.123810
 25.840     8.589400     0.047900     0.107403
 14.840     6.950400     0.057700     0.086886
----------------------------------------------------------
E =  278.850 MeV, E_lo =  276.680 MeV, E_hi =  281.020 MeV
Systematic = 0.1946, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     9.261400     0.048000     0.115741
154.160    10.668300     0.049000     0.133384
146.440    11.971000     0.050400     0.149640
140.060    13.162800     0.052200     0.164517
134.430    14.090900     0.053200     0.176141
129.300    15.096100     0.054900     0.188675
124.520    15.969600     0.056100     0.199669
120.000    16.713000     0.057100     0.208938
115.680    17.389700     0.058100     0.217369
111.510    17.987000     0.059100     0.224863
107.460    18.447700     0.059500     0.230546
103.490    18.953200     0.060200     0.236973
 99.590    19.204700     0.060000     0.240117
 95.740    19.319000     0.059900     0.241482
 91.910    19.401800     0.059700     0.242561
 88.090    19.305400     0.059000     0.241291
 84.260    19.183200     0.058600     0.239845
 80.410    18.914500     0.057900     0.236413
 76.510    18.718500     0.057400     0.233962
 72.540    18.239700     0.056400     0.228029
 68.490    17.748800     0.055600     0.221839
 64.320    17.147400     0.054600     0.214355
 60.000    16.503400     0.053600     0.206352
 55.480    15.535400     0.052300     0.194180
 50.700    14.573600     0.051600     0.182132
 45.570    13.433500     0.050700     0.167913
 39.940    12.129900     0.050700     0.151649
 33.560    10.857300     0.052200     0.135707
 25.840     9.420500     0.056200     0.117779
 14.840     7.717500     0.069100     0.096514
----------------------------------------------------------
E =  283.190 MeV, E_lo =  281.020 MeV, E_hi =  285.360 MeV
Systematic = 0.2110, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     9.739500     0.052100     0.121718
154.160    11.358600     0.053500     0.141953
146.440    12.709000     0.054700     0.158846
140.060    14.064400     0.056800     0.175854
134.430    15.137600     0.058200     0.189253
129.300    16.273600     0.060100     0.203407
124.520    17.318900     0.061600     0.216507
120.000    18.140600     0.062800     0.226765
115.680    18.768300     0.063700     0.234606
111.510    19.576000     0.065000     0.244715
107.460    20.051500     0.065400     0.250607
103.490    20.634600     0.066300     0.257915
 99.590    20.869000     0.066100     0.260856
 95.740    21.043100     0.066100     0.263021
 91.910    21.069800     0.065700     0.263328
 88.090    20.904600     0.064800     0.261285
 84.260    20.778800     0.064300     0.259760
 80.410    20.505900     0.063500     0.256352
 76.510    20.228600     0.063000     0.252870
 72.540    19.848900     0.062200     0.248123
 68.490    19.362600     0.061400     0.242033
 64.320    18.597000     0.060000     0.232482
 60.000    17.877800     0.059000     0.223442
 55.480    16.958500     0.057800     0.211960
 50.700    16.094100     0.057500     0.201143
 45.570    14.682100     0.056200     0.183486
 39.940    13.269800     0.056100     0.165870
 33.560    11.931400     0.058000     0.149117
 25.840    10.380600     0.062600     0.129792
 14.840     8.260500     0.077100     0.103300
----------------------------------------------------------
E =  287.530 MeV, E_lo =  285.360 MeV, E_hi =  289.700 MeV
Systematic = 0.2282, Preliminary = 0, CBMAMI_2014_Prakhov
165.160    10.241800     0.050200     0.128009
154.160    12.106800     0.052300     0.151317
146.440    13.588500     0.053800     0.169885
140.060    15.008700     0.056000     0.187621
134.430    16.208200     0.057600     0.202570
129.300    17.497100     0.059700     0.218698
124.520    18.588900     0.061300     0.232350
120.000    19.707300     0.063200     0.246321
115.680    20.316100     0.063800     0.253907
111.510    21.087100     0.065100     0.263580
107.460    21.668800     0.065800     0.270821
103.490    22.272100     0.066700     0.278422
 99.590    22.556000     0.066700     0.281917
 95.740    22.789300     0.066700     0.284896
 91.910    22.913700     0.066500     0.286380
 88.090    22.603600     0.065300     0.282552
 84.260    22.630700     0.065100     0.282906
 80.410    22.327600     0.064300     0.279089
 76.510    21.996300     0.063600     0.274940
 72.540    21.540100     0.062800     0.269274
 68.490    20.991300     0.061800     0.262421
 64.320    20.219700     0.060400     0.252784
 60.000    19.402200     0.059200     0.242581
 55.480    18.387300     0.057800     0.229844
 50.700    17.395200     0.057200     0.217401
 45.570    16.011800     0.055900     0.200140
 39.940    14.457700     0.055400     0.180698
 33.560    12.886800     0.056700     0.161114
 25.840    11.187700     0.060600     0.139833
 14.840     9.037100     0.074400     0.113008
----------------------------------------------------------
E =  291.870 MeV, E_lo =  289.700 MeV, E_hi =  294.040 MeV
Systematic = 0.2445, Preliminary = 0, CBMAMI_2014_Prakhov
165.160    10.760600     0.051200     0.134483
154.160    12.674900     0.053300     0.158477
146.440    14.449600     0.055500     0.180668
140.060    15.807500     0.057300     0.197558
134.430    17.143000     0.059200     0.214272
129.300    18.648700     0.061800     0.233148
124.520    19.855900     0.063600     0.248180
120.000    20.987500     0.065400     0.262372
115.680    21.800900     0.066600     0.272479
111.510    22.555100     0.067700     0.281884
107.460    23.134800     0.068400     0.289222
103.490    23.798100     0.069400     0.297513
 99.590    24.082500     0.069400     0.301003
 95.740    24.514700     0.069900     0.306429
 91.910    24.593000     0.069700     0.307397
 88.090    24.409300     0.068600     0.305082
 84.260    24.341100     0.068200     0.304250
 80.410    24.057200     0.067400     0.300740
 76.510    23.673300     0.066600     0.295897
 72.540    23.263100     0.065900     0.290827
 68.490    22.564100     0.064600     0.282098
 64.320    21.789000     0.063200     0.272364
 60.000    20.968500     0.062000     0.262066
 55.480    19.914100     0.060500     0.248954
 50.700    18.740800     0.059500     0.234262
 45.570    17.125000     0.057700     0.214060
 39.940    15.549700     0.057300     0.194328
 33.560    13.890500     0.058500     0.173609
 25.840    12.011700     0.062000     0.150099
 14.840     9.808500     0.076100     0.122602
----------------------------------------------------------
E =  296.220 MeV, E_lo =  294.040 MeV, E_hi =  298.390 MeV
Systematic = 0.2601, Preliminary = 0, CBMAMI_2014_Prakhov
165.160    11.106000     0.051800     0.138852
154.160    13.213700     0.054300     0.165205
146.440    15.010600     0.056500     0.187680
140.060    16.629800     0.058900     0.207918
134.430    18.040200     0.061000     0.225495
129.300    19.618600     0.063700     0.245263
124.520    21.029100     0.066000     0.262840
120.000    22.254400     0.067900     0.278235
115.680    23.243700     0.069500     0.290605
111.510    24.043700     0.070600     0.300518
