!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
8   0.3637    2.17931e-01   2.64671e-02
9   0.5455    2.20089e-01   3.20240e-02
10  0.7273    2.18221e-01   3.93933e-02
11  0.9091    1.38325e-01   4.59117e-02
!--------------------------------------------------------#022
! Tagger channel 287, Eg=196.75+/-1.20, W=1117.84+/-1.01 MeV , Pol=0.5370
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    7.32549e-03   2.02029e-02
2  -0.7273    9.84702e-02   1.90205e-02
3  -0.5455    1.07524e-01   1.78786e-02
4  -0.3637    1.37774e-01   1.76786e-02
5  -0.1819    2.10732e-01   1.73605e-02
6   0.0000    2.09491e-01   1.88195e-02
7   0.1819    2.04178e-01   2.03290e-02
8   0.3637    2.01104e-01   2.26345e-02
9   0.5455    2.17028e-01   2.89337e-02
10  0.7273    1.74802e-01   3.46786e-02
11  0.9091    6.17187e-02   4.12029e-02
!--------------------------------------------------------#023
! Tagger channel 286, Eg=199.16+/-1.20, W=1119.86+/-1.01 MeV, Pol=0.4628
! 9 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1 -0.8889     6.76247e-02   2.34279e-02
2 -0.6667     1.20131e-01   2.12909e-02
3 -0.4445     1.75856e-01   2.02440e-02
4 -0.2223     2.10396e-01   2.03317e-02
5  0.0000     1.80238e-01   2.02061e-02
6  0.2223     1.67381e-01   2.38590e-02
7  0.4445     1.79459e-01   2.80940e-02
8  0.6667     7.30968e-02   3.72165e-02
9  0.8889     1.36046e-01   4.60003e-02
!--------------------------------------------------------#024
! Tagger channel 285, Eg=201.57+/-1.19, W=1121.88+/-1.00 MeV, Pol=0.3698
! 9 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1 -0.8889     3.91332e-02   3.01012e-02
2 -0.6667     1.47765e-01   2.77447e-02
3 -0.4445     1.81890e-01   2.53702e-02
4 -0.2223     1.75588e-01   2.50647e-02
5  0.0000     2.25734e-01   2.75179e-02
6  0.2223     1.65566e-01   3.06599e-02
7  0.4445     2.06259e-01   3.57640e-02
8  0.6667     1.71088e-01   4.66241e-02
9  0.8889     3.58837e-02   6.09324e-02
!--------------------------------------------------------#025
! Tagger channel 284, Eg=203.91+/-1.20, W=1123.83+/-1.00 MeV, Pol=0.2735
! 9 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1 -0.8889     2.99999e-02   4.55373e-02
2 -0.6667     1.64016e-01   4.02773e-02
3 -0.4445     1.81808e-01   3.89423e-02
4 -0.2223     1.52684e-01   3.70231e-02
5  0.0000     1.96960e-01   4.06403e-02
6  0.2223     2.69057e-01   4.47339e-02
7  0.4445     2.37043e-01   5.33791e-02
8  0.6667     1.80096e-01   6.96703e-02
9  0.8889     4.40721e-02   7.75533e-02
!--------------------------------------------------------#026
! Tagger channel 283, Eg=206.38+/-1.21, W=1125.89+/-1.01 MeV, Pol=0.1844
! 7 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1 -0.8571    -2.17452e-03   6.65972e-02
2 -0.5714     1.62292e-01   5.82034e-02
3 -0.2857     2.18967e-01   5.42433e-02
4  0.0000     2.69436e-01   5.72621e-02
5  0.2857     1.94871e-01   6.53212e-02
6  0.5714     2.48369e-01   8.28330e-02
7  0.8571     1.29863e-01   1.24712e-01
!=========================================================================
! second peak of polarization
!=========================================================================
!--------------------------------------------------------#027
! Tagger channel 265, Eg=250.18+/-1.23, W=1161.82+/-0.99 MeV, Pol=0.1642
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.23967e-01   5.37223e-02
2  -0.7273    2.07902e-01   4.49920e-02
3  -0.5455    2.87320e-01   4.10568e-02
4  -0.3637    4.19718e-01   3.85651e-02
5  -0.1819    3.32917e-01   3.81505e-02
6   0.0000    3.78797e-01   3.83473e-02
7   0.1819    3.21847e-01   3.94572e-02
8   0.3637    3.49540e-01   4.25302e-02
9   0.5455    4.04334e-01   4.88510e-02
10  0.7273    2.86679e-01   6.33705e-02
11  0.9091    9.59680e-02   9.47239e-02
!--------------------------------------------------------#028
! Tagger channel 264, Eg=252.63+/-1.23, W=1163.80+/-0.99 MeV, Pol=0.1701
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.65307e-01   7.14923e-02
2  -0.7273    2.24602e-01   5.96344e-02
3  -0.5455    2.95883e-01   5.45601e-02
4  -0.3637    4.01367e-01   5.18636e-02
5  -0.1819    3.75392e-01   5.02408e-02
6   0.0000    4.26968e-01   5.01974e-02
7   0.1819    3.94741e-01   5.24432e-02
8   0.3637    3.11865e-01   5.58106e-02
9   0.5455    2.55260e-01   6.61499e-02
10  0.7273    2.90417e-01   8.06104e-02
11  0.9091    9.13686e-02   1.27428e-01
!--------------------------------------------------------#029
! Tagger channel 263, Eg=255.09+/-1.23, W=1165.78+/-0.99 MeV, Pol=0.1766
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.67524e-01   5.89215e-02
2  -0.7273    1.93183e-01   5.06112e-02
3  -0.5455    1.99207e-01   4.53425e-02
4  -0.3637    3.25452e-01   4.25068e-02
5  -0.1819    3.66831e-01   4.18932e-02
6   0.0000    2.91901e-01   4.18952e-02
7   0.1819    4.15938e-01   4.33513e-02
8   0.3637    3.74515e-01   4.60648e-02
9   0.5455    3.13637e-01   5.34428e-02
10  0.7273    2.33886e-01   6.99608e-02
11  0.9091    1.74456e-01   1.10009e-01
!--------------------------------------------------------#030
! Tagger channel 262, Eg=257.55+/-1.23, W=1167.76+/-0.99 MeV, Pol=0.1827
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.21928e-01   4.42200e-02
2  -0.7273    2.45852e-01   3.74214e-02
3  -0.5455    2.58613e-01   3.34894e-02
4  -0.3637    3.49416e-01   3.06613e-02
5  -0.1819    4.29267e-01   3.07633e-02
6   0.0000    3.80873e-01   3.09032e-02
7   0.1819    4.09614e-01   3.18021e-02
