   W         E1+(pi+_n)
 (MeV)      Re      Im
 1761.0    1.125   0.694
 1762.0    1.118   0.692
 1763.0    1.111   0.689
 1764.0    1.104   0.687
 1765.0    1.097   0.684
 1766.0    1.090   0.682
 1767.0    1.083   0.679
 1768.0    1.076   0.676
 1769.0    1.070   0.674
 1770.0    1.063   0.671
 1771.0    1.057   0.668
 1772.0    1.050   0.665
 1773.0    1.044   0.662
 1774.0    1.038   0.659
 1775.0    1.031   0.656
 1776.0    1.025   0.653
 1777.0    1.019   0.650
 1778.0    1.013   0.647
 1779.0    1.008   0.644
 1780.0    1.002   0.641
 1781.0    0.996   0.638
 1782.0    0.990   0.635
 1783.0    0.985   0.632
 1784.0    0.979   0.628
 1785.0    0.974   0.625
 1786.0    0.968   0.622
 1787.0    0.963   0.619
 1788.0    0.958   0.615
 1789.0    0.952   0.612
 1790.0    0.947   0.609
 1791.0    0.942   0.605
 1792.0    0.937   0.602
 1793.0    0.933   0.598
 1794.0    0.928   0.595
 1795.0    0.923   0.592
 1796.0    0.918   0.588
 1797.0    0.914   0.585
 1798.0    0.909   0.581
 1799.0    0.905   0.578
 1800.0    0.900   0.575
 1801.0    0.896   0.571
 1802.0    0.892   0.568
 1803.0    0.887   0.564
 1804.0    0.883   0.561
 1805.0    0.879   0.557
 1806.0    0.875   0.554
 1807.0    0.871   0.551
 1808.0    0.867   0.547
 1809.0    0.863   0.544
 1810.0    0.859   0.540
 1811.0    0.856   0.537
 1812.0    0.852   0.534
 1813.0    0.848   0.530
 1814.0    0.845   0.527
 1815.0    0.841   0.523
 1816.0    0.837   0.520
 1817.0    0.834   0.517
 1818.0    0.831   0.513
 1819.0    0.827   0.510
 1820.0    0.824   0.507
 1821.0    0.821   0.503
 1822.0    0.817   0.500
 1823.0    0.814   0.497
 1824.0    0.811   0.493
 1825.0    0.808   0.490
 1826.0    0.805   0.487
 1827.0    0.802   0.484
 1828.0    0.799   0.480
 1829.0    0.796   0.477
 1830.0    0.793   0.474
 1831.0    0.790   0.471
 1832.0    0.787   0.468
 1833.0    0.784   0.465
 1834.0    0.782   0.461
 1835.0    0.779   0.458
 1836.0    0.776   0.455
 1837.0    0.774   0.452
 1838.0    0.771   0.449
 1839.0    0.768   0.446
 1840.0    0.766   0.443
 1841.0    0.763   0.440
 1842.0    0.761   0.437
 1843.0    0.758   0.434
 1844.0    0.756   0.431
 1845.0    0.754   0.428
 1846.0    0.751   0.425
 1847.0    0.749   0.422
 1848.0    0.747   0.419
 1849.0    0.745   0.416
 1850.0    0.742   0.413
 1851.0    0.740   0.410
 1852.0    0.738   0.407
 1853.0    0.736   0.405
 1854.0    0.734   0.402
 1855.0    0.732   0.399
 1856.0    0.730   0.396
 1857.0    0.728   0.393
 1858.0    0.726   0.391
 1859.0    0.724   0.388
 1860.0    0.722   0.385
 1861.0    0.720   0.382
 1862.0    0.718   0.380
 1863.0    0.716   0.377
 1864.0    0.714   0.374
 1865.0    0.712   0.372
 1866.0    0.711   0.369
 1867.0    0.709   0.366
 1868.0    0.707   0.364
 1869.0    0.705   0.361
 1870.0    0.703   0.359
 1871.0    0.702   0.356
 1872.0    0.700   0.354
 1873.0    0.698   0.351
 1874.0    0.697   0.349
 1875.0    0.695   0.346
 1876.0    0.694   0.344
 1877.0    0.692   0.341
 1878.0    0.690   0.339
 1879.0    0.689   0.336
 1880.0    0.687   0.334
 1881.0    0.686   0.332
 1882.0    0.684   0.329
 1883.0    0.683   0.327
 1884.0    0.681   0.325
 1885.0    0.680   0.322
 1886.0    0.678   0.320
 1887.0    0.677   0.318
 1888.0    0.676   0.316
 1889.0    0.674   0.313
 1890.0    0.673   0.311
 1891.0    0.671   0.309
 1892.0    0.670   0.307
 1893.0    0.669   0.304
 1894.0    0.667   0.302
 1895.0    0.666   0.300
 1896.0    0.665   0.298
 1897.0    0.663   0.296
 1898.0    0.662   0.294
 1899.0    0.661   0.292
 1900.0    0.660   0.289
 1901.0    0.658   0.287
 1902.0    0.657   0.285
 1903.0    0.656   0.283
 1904.0    0.655   0.281
 1905.0    0.654   0.279
 1906.0    0.652   0.277
 1907.0    0.651   0.275
 1908.0    0.650   0.273
 1909.0    0.649   0.271
 1910.0    0.648   0.269
 1911.0    0.647   0.267
 1912.0    0.646   0.265
 1913.0    0.645   0.263
 1914.0    0.644   0.262
 1915.0    0.643   0.260
 1916.0    0.641   0.258
 1917.0    0.640   0.256
 1918.0    0.639   0.254
 1919.0    0.638   0.252
 1920.0    0.637   0.250
 1921.0    0.636   0.249
 1922.0    0.635   0.247
 1923.0    0.634   0.245
 1924.0    0.633   0.243
 1925.0    0.632   0.241
 1926.0    0.631   0.240
 1927.0    0.630   0.238
 1928.0    0.629   0.236
 1929.0    0.628   0.234
 1930.0    0.627   0.233
 1931.0    0.627   0.231
 1932.0    0.626   0.229
 1933.0    0.625   0.228
 1934.0    0.624   0.226
 1935.0    0.623   0.224
 1936.0    0.622   0.223
 1937.0    0.621   0.221
 1938.0    0.620   0.219
 1939.0    0.619   0.218
 1940.0    0.618   0.216
 1941.0    0.617   0.215
 1942.0    0.617   0.213
 1943.0    0.616   0.212
 1944.0    0.615   0.210
 1945.0    0.614   0.208
 1946.0    0.613   0.207
 1947.0    0.613   0.205
 1948.0    0.612   0.204
 1949.0    0.611   0.202
 1950.0    0.610   0.201
 1951.0    0.609   0.199
 1952.0    0.609   0.198
 1953.0    0.608   0.196
 1954.0    0.607   0.195
 1955.0    0.606   0.193
 1956.0    0.605   0.192
 1957.0    0.605   0.191
 1958.0    0.604   0.189
 1959.0    0.603   0.188
 1960.0    0.602   0.186
 1961.0    0.602   0.185
 1962.0    0.601   0.184
 1963.0    0.600   0.182
 1964.0    0.599   0.181
 1965.0    0.599   0.180
 1966.0    0.598   0.178
 1967.0    0.597   0.177
 1968.0    0.597   0.176
 1969.0    0.596   0.175
 1970.0    0.595   0.173
 1971.0    0.595   0.172
