   W         E3-(pi+_n)
 (MeV)      Re      Im
 1679.0    0.158   2.443
 1680.0    0.122   2.424
 1681.0    0.087   2.404
 1682.0    0.053   2.383
 1683.0    0.020   2.362
 1684.0   -0.012   2.339
 1685.0   -0.043   2.316
 1686.0   -0.073   2.293
 1687.0   -0.102   2.269
 1688.0   -0.129   2.244
 1689.0   -0.156   2.218
 1690.0   -0.182   2.193
 1691.0   -0.206   2.167
 1692.0   -0.230   2.140
 1693.0   -0.252   2.114
 1694.0   -0.274   2.087
 1695.0   -0.294   2.060
 1696.0   -0.314   2.033
 1697.0   -0.332   2.006
 1698.0   -0.350   1.978
 1699.0   -0.366   1.951
 1700.0   -0.381   1.924
 1701.0   -0.396   1.897
 1702.0   -0.410   1.870
 1703.0   -0.423   1.843
 1704.0   -0.435   1.817
 1705.0   -0.446   1.790
 1706.0   -0.456   1.764
 1707.0   -0.466   1.738
 1708.0   -0.475   1.712
 1709.0   -0.483   1.687
 1710.0   -0.491   1.661
 1711.0   -0.498   1.636
 1712.0   -0.504   1.612
 1713.0   -0.510   1.587
 1714.0   -0.515   1.564
 1715.0   -0.520   1.540
 1716.0   -0.524   1.517
 1717.0   -0.527   1.494
 1718.0   -0.530   1.471
 1719.0   -0.533   1.449
 1720.0   -0.535   1.427
 1721.0   -0.537   1.406
 1722.0   -0.539   1.384
 1723.0   -0.540   1.364
 1724.0   -0.540   1.343
 1725.0   -0.541   1.323
 1726.0   -0.541   1.304
 1727.0   -0.541   1.284
 1728.0   -0.540   1.265
 1729.0   -0.540   1.247
 1730.0   -0.539   1.229
 1731.0   -0.537   1.211
 1732.0   -0.536   1.194
 1733.0   -0.534   1.176
 1734.0   -0.533   1.160
 1735.0   -0.531   1.143
 1736.0   -0.529   1.127
 1737.0   -0.526   1.111
 1738.0   -0.524   1.096
 1739.0   -0.522   1.081
 1740.0   -0.519   1.066
 1741.0   -0.516   1.051
 1742.0   -0.513   1.037
 1743.0   -0.510   1.023
 1744.0   -0.507   1.009
 1745.0   -0.504   0.996
 1746.0   -0.501   0.983
 1747.0   -0.498   0.970
 1748.0   -0.495   0.957
 1749.0   -0.491   0.945
 1750.0   -0.488   0.932
 1751.0   -0.485   0.920
 1752.0   -0.481   0.909
 1753.0   -0.478   0.897
 1754.0   -0.475   0.886
 1755.0   -0.471   0.875
 1756.0   -0.468   0.864
 1757.0   -0.464   0.853
 1758.0   -0.461   0.843
 1759.0   -0.457   0.833
 1760.0   -0.454   0.823
 1761.0   -0.450   0.813
 1762.0   -0.447   0.803
 1763.0   -0.443   0.793
 1764.0   -0.440   0.784
 1765.0   -0.437   0.774
 1766.0   -0.433   0.765
 1767.0   -0.430   0.756
 1768.0   -0.426   0.747
 1769.0   -0.423   0.739
 1770.0   -0.420   0.730
 1771.0   -0.416   0.722
 1772.0   -0.413   0.713
 1773.0   -0.410   0.705
 1774.0   -0.407   0.697
 1775.0   -0.403   0.689
 1776.0   -0.400   0.681
 1777.0   -0.397   0.673
 1778.0   -0.394   0.665
 1779.0   -0.391   0.658
 1780.0   -0.388   0.650
 1781.0   -0.384   0.643
 1782.0   -0.381   0.635
 1783.0   -0.378   0.628
 1784.0   -0.375   0.621
 1785.0   -0.372   0.614
 1786.0   -0.369   0.606
 1787.0   -0.366   0.599
 1788.0   -0.363   0.592
 1789.0   -0.360   0.585
 1790.0   -0.357   0.579
 1791.0   -0.354   0.572
 1792.0   -0.350   0.565
 1793.0   -0.347   0.558
 1794.0   -0.344   0.552
 1795.0   -0.341   0.545
 1796.0   -0.338   0.539
 1797.0   -0.335   0.532
 1798.0   -0.332   0.526
 1799.0   -0.329   0.520
 1800.0   -0.326   0.513
 1801.0   -0.323   0.507
 1802.0   -0.320   0.501
 1803.0   -0.317   0.495
 1804.0   -0.313   0.489
 1805.0   -0.310   0.483
 1806.0   -0.307   0.477
 1807.0   -0.304   0.471
 1808.0   -0.301   0.465
 1809.0   -0.298   0.459
 1810.0   -0.294   0.453
 1811.0   -0.291   0.448
 1812.0   -0.288   0.442
 1813.0   -0.285   0.436
 1814.0   -0.282   0.431
 1815.0   -0.278   0.425
 1816.0   -0.275   0.420
 1817.0   -0.272   0.414
 1818.0   -0.268   0.409
 1819.0   -0.265   0.404
 1820.0   -0.262   0.399
 1821.0   -0.258   0.393
 1822.0   -0.255   0.388
 1823.0   -0.252   0.383
 1824.0   -0.248   0.378
 1825.0   -0.245   0.373
 1826.0   -0.241   0.368
 1827.0   -0.238   0.363
 1828.0   -0.234   0.359
 1829.0   -0.231   0.354
 1830.0   -0.227   0.349
 1831.0   -0.224   0.345
 1832.0   -0.220   0.340
 1833.0   -0.217   0.336
 1834.0   -0.213   0.331
 1835.0   -0.210   0.327
 1836.0   -0.206   0.322
 1837.0   -0.203   0.318
 1838.0   -0.199   0.314
 1839.0   -0.196   0.310
 1840.0   -0.192   0.306
 1841.0   -0.188   0.302
 1842.0   -0.185   0.298
 1843.0   -0.181   0.294
 1844.0   -0.178   0.290
 1845.0   -0.174   0.286
 1846.0   -0.170   0.282
 1847.0   -0.167   0.278
 1848.0   -0.163   0.275
 1849.0   -0.160   0.271
 1850.0   -0.156   0.267
 1851.0   -0.152   0.264
 1852.0   -0.149   0.260
 1853.0   -0.145   0.257
 1854.0   -0.142   0.254
 1855.0   -0.138   0.250
 1856.0   -0.134   0.247
 1857.0   -0.131   0.244
 1858.0   -0.127   0.241
 1859.0   -0.124   0.238
 1860.0   -0.120   0.235
 1861.0   -0.116   0.232
 1862.0   -0.113   0.229
 1863.0   -0.109   0.226
 1864.0   -0.106   0.223
 1865.0   -0.102   0.220
 1866.0   -0.099   0.217
 1867.0   -0.095   0.215
 1868.0   -0.092   0.212
 1869.0   -0.088   0.209
 1870.0   -0.085   0.207
 1871.0   -0.081   0.204
 1872.0   -0.078   0.202
 1873.0   -0.074   0.199
 1874.0   -0.071   0.197
 1875.0   -0.068   0.194
 1876.0   -0.064   0.192
 1877.0   -0.061   0.190
 1878.0   -0.057   0.188
 1879.0   -0.054   0.185
 1880.0   -0.051   0.183
 1881.0   -0.047   0.181
 1882.0   -0.044   0.179
 1883.0   -0.041   0.177
