   W         M3-(pi+_n)
 (MeV)      Re      Im
 1908.0   -0.241   0.118
 1909.0   -0.239   0.117
 1910.0   -0.236   0.117
 1911.0   -0.234   0.116
 1912.0   -0.232   0.115
 1913.0   -0.229   0.114
 1914.0   -0.227   0.113
 1915.0   -0.225   0.113
 1916.0   -0.223   0.112
 1917.0   -0.220   0.111
 1918.0   -0.218   0.110
 1919.0   -0.216   0.110
 1920.0   -0.214   0.109
 1921.0   -0.211   0.108
 1922.0   -0.209   0.108
 1923.0   -0.207   0.107
 1924.0   -0.205   0.106
 1925.0   -0.203   0.106
 1926.0   -0.200   0.105
 1927.0   -0.198   0.105
 1928.0   -0.196   0.104
 1929.0   -0.194   0.103
 1930.0   -0.192   0.103
 1931.0   -0.190   0.102
 1932.0   -0.188   0.102
 1933.0   -0.186   0.101
 1934.0   -0.184   0.101
 1935.0   -0.182   0.100
 1936.0   -0.180   0.100
 1937.0   -0.178   0.099
 1938.0   -0.176   0.099
 1939.0   -0.174   0.099
 1940.0   -0.172   0.098
 1941.0   -0.170   0.098
 1942.0   -0.168   0.097
 1943.0   -0.166   0.097
 1944.0   -0.164   0.096
 1945.0   -0.162   0.096
 1946.0   -0.160   0.096
 1947.0   -0.158   0.095
 1948.0   -0.156   0.095
 1949.0   -0.154   0.095
 1950.0   -0.153   0.094
 1951.0   -0.151   0.094
 1952.0   -0.149   0.094
 1953.0   -0.147   0.093
 1954.0   -0.145   0.093
 1955.0   -0.143   0.093
 1956.0   -0.142   0.092
 1957.0   -0.140   0.092
 1958.0   -0.138   0.092
 1959.0   -0.136   0.091
 1960.0   -0.135   0.091
 1961.0   -0.133   0.091
 1962.0   -0.131   0.091
 1963.0   -0.129   0.090
 1964.0   -0.128   0.090
 1965.0   -0.126   0.090
 1966.0   -0.124   0.090
 1967.0   -0.123   0.089
 1968.0   -0.121   0.089
 1969.0   -0.119   0.089
 1970.0   -0.118   0.089
 1971.0   -0.116   0.088
