   W         E0+(pi0_p)
 (MeV)      Re         Im
 1727.0   -2.37536    2.77641
 1728.0   -2.37159    2.76202
 1729.0   -2.36829    2.74764
 1730.0   -2.36452    2.73350
 1731.0   -2.36122    2.71982
 1732.0   -2.35745    2.70638
 1733.0   -2.35415    2.69224
 1734.0   -2.35037    2.67927
 1735.0   -2.34707    2.66583
 1736.0   -2.34259    2.65192
 1737.0   -2.33858    2.63801
 1738.0   -2.33387    2.62363
 1739.0   -2.32915    2.60901
 1740.0   -2.32444    2.59463
 1741.0   -2.32019    2.58095
 1742.0   -2.31619    2.56610
 1743.0   -2.31147    2.55243
 1744.0   -2.30723    2.53828
 1745.0   -2.30322    2.52413
 1746.0   -2.29827    2.51070
 1747.0   -2.29285    2.49773
 1748.0   -2.28719    2.48429
 1749.0   -2.28153    2.47085
 1750.0   -2.27540    2.45812
 1751.0   -2.27045    2.44421
 1752.0   -2.26502    2.43148
 1753.0   -2.26007    2.41757
 1754.0   -2.25512    2.40436
 1755.0   -2.25017    2.39045
 1756.0   -2.24475    2.37678
 1757.0   -2.23909    2.36381
 1758.0   -2.23414    2.35061
 1759.0   -2.22801    2.33764
 1760.0   -2.22235    2.32467
 1761.0   -2.21669    2.31124
 1762.0   -2.21056    2.29827
 1763.0   -2.20420    2.28601
 1764.0   -2.19854    2.27257
 1765.0   -2.19217    2.26031
 1766.0   -2.18651    2.24758
 1767.0   -2.17991    2.23485
 1768.0   -2.17355    2.22259
 1769.0   -2.16718    2.20985
 1770.0   -2.16058    2.19712
 1771.0   -2.15421    2.18510
 1772.0   -2.14785    2.17331
 1773.0   -2.14219    2.16129
 1774.0   -2.13582    2.14997
 1775.0   -2.12946    2.13865
 1776.0   -2.12309    2.12757
 1777.0   -2.11673    2.11578
 1778.0   -2.11107    2.10400
 1779.0   -2.10517    2.09221
 1780.0   -2.09881    2.07995
 1781.0   -2.09244    2.06816
 1782.0   -2.08537    2.05708
 1783.0   -2.07900    2.04600
 1784.0   -2.07264    2.03491
 1785.0   -2.06556    2.02336
 1786.0   -2.05967    2.01228
 1787.0   -2.05260    2.00144
 1788.0   -2.04623    1.99059
 1789.0   -2.03916    1.97975
 1790.0   -2.03209    1.96890
 1791.0   -2.02501    1.95805
 1792.0   -2.01841    1.94721
 1793.0   -2.01134    1.93636
 1794.0   -2.00403    1.92552
 1795.0   -1.99743    1.91420
 1796.0   -1.99035    1.90406
 1797.0   -1.98328    1.89393
 1798.0   -1.97692    1.88379
 1799.0   -1.97055    1.87365
 1800.0   -1.96418    1.86422
 1801.0   -1.95711    1.85361
 1802.0   -1.95051    1.84347
 1803.0   -1.94344    1.83357
 1804.0   -1.93636    1.82296
 1805.0   -1.92929    1.81259
 1806.0   -1.92340    1.80315
 1807.0   -1.91632    1.79325
 1808.0   -1.90996    1.78335
 1809.0   -1.90406    1.77416
 1810.0   -1.89770    1.76425
 1811.0   -1.89062    1.75506
 1812.0   -1.88426    1.74539
 1813.0   -1.87836    1.73620
 1814.0   -1.87200    1.72653
 1815.0   -1.86610    1.71734
 1816.0   -1.85903    1.70814
 1817.0   -1.85267    1.69965
 1818.0   -1.84559    1.69046
 1819.0   -1.83899    1.68197
 1820.0   -1.83263    1.67348
 1821.0   -1.82555    1.66452
 1822.0   -1.81848    1.65556
 1823.0   -1.81188    1.64708
 1824.0   -1.80481    1.63882
 1825.0   -1.79773    1.63057
 1826.0   -1.79066    1.62161
 1827.0   -1.78406    1.61336
 1828.0   -1.77628    1.60511
 1829.0   -1.76920    1.59686
 1830.0   -1.76190    1.58861
 1831.0   -1.75553    1.58035
 1832.0   -1.74846    1.57210
 1833.0   -1.74256    1.56432
 1834.0   -1.73620    1.55607
 1835.0   -1.72983    1.54829
 1836.0   -1.72394    1.54074
 1837.0   -1.71757    1.53202
 1838.0   -1.71121    1.52448
 1839.0   -1.70531    1.51646
 1840.0   -1.69965    1.50821
 1841.0   -1.69329    1.50019
 1842.0   -1.68739    1.49265
 1843.0   -1.68221    1.48510
 1844.0   -1.67584    1.47756
 1845.0   -1.67065    1.46954
 1846.0   -1.66429    1.46200
 1847.0   -1.65721    1.45516
 1848.0   -1.65132    1.44785
 1849.0   -1.64378    1.44031
 1850.0   -1.63670    1.43300
 1851.0   -1.63152    1.42616
 1852.0   -1.62515    1.41956
 1853.0   -1.61926    1.41272
 1854.0   -1.61407    1.40541
 1855.0   -1.60888    1.39811
 1856.0   -1.60252    1.39198
 1857.0   -1.59686    1.38467
 1858.0   -1.59096    1.37806
 1859.0   -1.58460    1.37076
 1860.0   -1.57894    1.36392
 1861.0   -1.57305    1.35732
 1862.0   -1.56786    1.35072
 1863.0   -1.56220    1.34411
 1864.0   -1.55772    1.33681
 1865.0   -1.55253    1.33020
 1866.0   -1.54617    1.32360
 1867.0   -1.54098    1.31771
 1868.0   -1.53461    1.31111
 1869.0   -1.52872    1.30568
 1870.0   -1.52165    1.29979
 1871.0   -1.51599    1.29319
 1872.0   -1.51010    1.28706
 1873.0   -1.50491    1.28046
 1874.0   -1.49901    1.27386
 1875.0   -1.49383    1.26725
 1876.0   -1.48817    1.26112
 1877.0   -1.48298    1.25594
 1878.0   -1.47732    1.25004
 1879.0   -1.47096    1.24486
 1880.0   -1.46577    1.23967
 1881.0   -1.46011    1.23377
 1882.0   -1.45493    1.22788
 1883.0   -1.44974    1.22151
 1884.0   -1.44455    1.21562
 1885.0   -1.43936    1.20855
 1886.0   -1.43371    1.20265
 1887.0   -1.42993    1.19629
 1888.0   -1.42498    1.18969
 1889.0   -1.42121    1.18379
 1890.0   -1.41697    1.17672
