   W          E0+(pi+_n)
 (MeV)       Re        Im
 1813.00   -2.66675  -1.44069
 1814.00   -2.65428  -1.45171
 1815.00   -2.64185  -1.46247
 1816.00   -2.62947  -1.47300
 1817.00   -2.61715  -1.48330
 1818.00   -2.60488  -1.49339
 1819.00   -2.59268  -1.50327
 1820.00   -2.58054  -1.51296
 1821.00   -2.56848  -1.52247
 1822.00   -2.55648  -1.53179
 1823.00   -2.54455  -1.54093
 1824.00   -2.53269  -1.54988
 1825.00   -2.52089  -1.55864
 1826.00   -2.50915  -1.56720
 1827.00   -2.49746  -1.57556
 1828.00   -2.48583  -1.58373
 1829.00   -2.47426  -1.59168
 1830.00   -2.46273  -1.59943
 1831.00   -2.45126  -1.60697
 1832.00   -2.43984  -1.61431
 1833.00   -2.42847  -1.62144
 1834.00   -2.41716  -1.62838
 1835.00   -2.40590  -1.63514
 1836.00   -2.39472  -1.64171
 1837.00   -2.38360  -1.64810
 1838.00   -2.37254  -1.65432
 1839.00   -2.36156  -1.66037
 1840.00   -2.35065  -1.66626
 1841.00   -2.33982  -1.67199
 1842.00   -2.32906  -1.67756
 1843.00   -2.31838  -1.68298
 1844.00   -2.30777  -1.68826
 1845.00   -2.29723  -1.69338
 1846.00   -2.28675  -1.69837
 1847.00   -2.27635  -1.70321
 1848.00   -2.26601  -1.70792
 1849.00   -2.25574  -1.71249
 1850.00   -2.24553  -1.71692
 1851.00   -2.23538  -1.72123
 1852.00   -2.22529  -1.72541
 1853.00   -2.21527  -1.72947
 1854.00   -2.20531  -1.73341
 1855.00   -2.19542  -1.73723
 1856.00   -2.18561  -1.74093
 1857.00   -2.17587  -1.74453
 1858.00   -2.16620  -1.74801
 1859.00   -2.15661  -1.75139
 1860.00   -2.14710  -1.75467
 1861.00   -2.13767  -1.75785
 1862.00   -2.12831  -1.76093
 1863.00   -2.11904  -1.76391
 1864.00   -2.10983  -1.76679
 1865.00   -2.10070  -1.76957
 1866.00   -2.09163  -1.77224
 1867.00   -2.08262  -1.77481
 1868.00   -2.07368  -1.77727
 1869.00   -2.06479  -1.77963
 1870.00   -2.05595  -1.78188
 1871.00   -2.04717  -1.78403
 1872.00   -2.03844  -1.78607
 1873.00   -2.02977  -1.78801
 1874.00   -2.02115  -1.78986
 1875.00   -2.01260  -1.79162
 1876.00   -2.00411  -1.79329
 1877.00   -1.99568  -1.79488
 1878.00   -1.98733  -1.79640
 1879.00   -1.97905  -1.79784
 1880.00   -1.97084  -1.79921
 1881.00   -1.96271  -1.80051
 1882.00   -1.95465  -1.80175
 1883.00   -1.94667  -1.80294
 1884.00   -1.93875  -1.80406
 1885.00   -1.93091  -1.80512
 1886.00   -1.92313  -1.80613
 1887.00   -1.91541  -1.80709
 1888.00   -1.90775  -1.80799
 1889.00   -1.90015  -1.80885
 1890.00   -1.89260  -1.80966
 1891.00   -1.88511  -1.81042
 1892.00   -1.87768  -1.81113
 1893.00   -1.87029  -1.81179
 1894.00   -1.86297  -1.81239
 1895.00   -1.85569  -1.81293
 1896.00   -1.84847  -1.81340
 1897.00   -1.84131  -1.81381
 1898.00   -1.83420  -1.81414
 1899.00   -1.82715  -1.81440
 1900.00   -1.82015  -1.81458
 1901.00   -1.81321  -1.81467
 1902.00   -1.80632  -1.81468
 1903.00   -1.79949  -1.81463
 1904.00   -1.79271  -1.81452
 1905.00   -1.78598  -1.81435
 1906.00   -1.77931  -1.81413
 1907.00   -1.77269  -1.81387
 1908.00   -1.76611  -1.81358
 1909.00   -1.75959  -1.81326
 1910.00   -1.75312  -1.81292
 1911.00   -1.74670  -1.81257
 1912.00   -1.74032  -1.81220
 1913.00   -1.73400  -1.81181
 1914.00   -1.72772  -1.81139
 1915.00   -1.72148  -1.81094
 1916.00   -1.71528  -1.81045
 1917.00   -1.70913  -1.80993
 1918.00   -1.70302  -1.80936
 1919.00   -1.69695  -1.80874
 1920.00   -1.69091  -1.80806
 1921.00   -1.68491  -1.80733
 1922.00   -1.67895  -1.80655
 1923.00   -1.67303  -1.80571
