   W          E2-(pi+_n)
 (MeV)       Re        Im
 1583.00   -0.48258   4.40979
 1584.00   -0.48335   4.37839
 1585.00   -0.48404   4.34774
 1586.00   -0.48466   4.31783
 1587.00   -0.48524   4.28863
 1588.00   -0.48578   4.26013
 1589.00   -0.48632   4.23231
 1590.00   -0.48685   4.20514
 1591.00   -0.48740   4.17862
 1592.00   -0.48798   4.15271
 1593.00   -0.48861   4.12741
 1594.00   -0.48928   4.10269
 1595.00   -0.49003   4.07854
 1596.00   -0.49085   4.05493
 1597.00   -0.49175   4.03186
 1598.00   -0.49275   4.00930
 1599.00   -0.49386   3.98723
 1600.00   -0.49507   3.96564
 1601.00   -0.49641   3.94452
 1602.00   -0.49787   3.92384
 1603.00   -0.49946   3.90359
 1604.00   -0.50118   3.88375
 1605.00   -0.50305   3.86431
 1606.00   -0.50507   3.84525
 1607.00   -0.50723   3.82656
 1608.00   -0.50955   3.80822
 1609.00   -0.51202   3.79022
 1610.00   -0.51465   3.77255
 1611.00   -0.51745   3.75518
 1612.00   -0.52041   3.73810
 1613.00   -0.52353   3.72131
 1614.00   -0.52682   3.70479
 1615.00   -0.53028   3.68853
 1616.00   -0.53390   3.67250
 1617.00   -0.53769   3.65671
 1618.00   -0.54165   3.64114
 1619.00   -0.54577   3.62577
 1620.00   -0.55006   3.61060
 1621.00   -0.55451   3.59562
 1622.00   -0.55913   3.58080
 1623.00   -0.56390   3.56615
 1624.00   -0.56884   3.55166
 1625.00   -0.57393   3.53730
 1626.00   -0.57918   3.52308
 1627.00   -0.58458   3.50898
 1628.00   -0.59013   3.49499
 1629.00   -0.59582   3.48111
 1630.00   -0.60166   3.46732
 1631.00   -0.60764   3.45363
 1632.00   -0.61375   3.44001
 1633.00   -0.62000   3.42646
 1634.00   -0.62637   3.41298
 1635.00   -0.63287   3.39956
 1636.00   -0.63949   3.38619
 1637.00   -0.64623   3.37286
 1638.00   -0.65308   3.35956
 1639.00   -0.66004   3.34630
 1640.00   -0.66710   3.33307
 1641.00   -0.67426   3.31985
 1642.00   -0.68152   3.30665
 1643.00   -0.68886   3.29346
 1644.00   -0.69629   3.28027
 1645.00   -0.70380   3.26708
 1646.00   -0.71139   3.25389
 1647.00   -0.71905   3.24069
 1648.00   -0.72677   3.22748
 1649.00   -0.73456   3.21425
 1650.00   -0.74240   3.20100
 1651.00   -0.75029   3.18773
 1652.00   -0.75823   3.17444
 1653.00   -0.76621   3.16112
 1654.00   -0.77423   3.14777
 1655.00   -0.78228   3.13438
 1656.00   -0.79036   3.12097
 1657.00   -0.79846   3.10751
 1658.00   -0.80658   3.09402
 1659.00   -0.81472   3.08050
 1660.00   -0.82286   3.06693
 1661.00   -0.83101   3.05332
 1662.00   -0.83916   3.03967
 1663.00   -0.84731   3.02597
 1664.00   -0.85544   3.01224
 1665.00   -0.86357   2.99846
 1666.00   -0.87168   2.98463
 1667.00   -0.87977   2.97077
 1668.00   -0.88783   2.95686
 1669.00   -0.89587   2.94291
 1670.00   -0.90388   2.92891
 1671.00   -0.91185   2.91488
 1672.00   -0.91978   2.90080
 1673.00   -0.92767   2.88668
 1674.00   -0.93551   2.87252
 1675.00   -0.94331   2.85833
 1676.00   -0.95105   2.84410
 1677.00   -0.95874   2.82983
 1678.00   -0.96637   2.81552
 1679.00   -0.97395   2.80118
 1680.00   -0.98145   2.78681
 1681.00   -0.98890   2.77241
 1682.00   -0.99627   2.75798
 1683.00   -1.00358   2.74353
 1684.00   -1.01081   2.72904
 1685.00   -1.01797   2.71454
 1686.00   -1.02505   2.70001
 1687.00   -1.03205   2.68546
 1688.00   -1.03898   2.67089
 1689.00   -1.04582   2.65631
 1690.00   -1.05258   2.64171
 1691.00   -1.05925   2.62710
 1692.00   -1.06584   2.61248
 1693.00   -1.07234   2.59785
 1694.00   -1.07875   2.58321
 1695.00   -1.08507   2.56857
 1696.00   -1.09130   2.55393
 1697.00   -1.09744   2.53928
 1698.00   -1.10349   2.52464
 1699.00   -1.10944   2.51000
 1700.00   -1.11530   2.49537
 1701.00   -1.12107   2.48074
 1702.00   -1.12674   2.46612
 1703.00   -1.13232   2.45152
 1704.00   -1.13780   2.43693
 1705.00   -1.14318   2.42235
 1706.00   -1.14848   2.40780
 1707.00   -1.15367   2.39326
 1708.00   -1.15877   2.37874
 1709.00   -1.16378   2.36425
 1710.00   -1.16869   2.34978
 1711.00   -1.17350   2.33534
 1712.00   -1.17822   2.32093
 1713.00   -1.18285   2.30654
 1714.00   -1.18738   2.29219
 1715.00   -1.19182   2.27788
 1716.00   -1.19616   2.26360
 1717.00   -1.20042   2.24935
 1718.00   -1.20458   2.23515
 1719.00   -1.20865   2.22098
 1720.00   -1.21263   2.20686
 1721.00   -1.21651   2.19278
 1722.00   -1.22031   2.17874
 1723.00   -1.22403   2.16475
 1724.00   -1.22765   2.15081
 1725.00   -1.23119   2.13691
 1726.00   -1.23464   2.12307
 1727.00   -1.23801   2.10928
 1728.00   -1.24129   2.09553
 1729.00   -1.24449   2.08185
 1730.00   -1.24761   2.06821
 1731.00   -1.25065   2.05463
 1732.00   -1.25361   2.04111
 1733.00   -1.25648   2.02765
 1734.00   -1.25929   2.01424
 1735.00   -1.26201   2.00090
 1736.00   -1.26466   1.98761
 1737.00   -1.26723   1.97439
 1738.00   -1.26974   1.96122
 1739.00   -1.27216   1.94812
 1740.00   -1.27452   1.93508
 1741.00   -1.27681   1.92211
 1742.00   -1.27903   1.90920
 1743.00   -1.28118   1.89636
 1744.00   -1.28327   1.88358
 1745.00   -1.28529   1.87087
 1746.00   -1.28724   1.85822
 1747.00   -1.28913   1.84565
 1748.00   -1.29096   1.83314
 1749.00   -1.29273   1.82069
 1750.00   -1.29444   1.80832
 1751.00   -1.29610   1.79602
 1752.00   -1.29769   1.78378
 1753.00   -1.29923   1.77162
 1754.00   -1.30071   1.75952
 1755.00   -1.30214   1.74749
 1756.00   -1.30352   1.73554
 1757.00   -1.30485   1.72365
 1758.00   -1.30612   1.71184
 1759.00   -1.30735   1.70009
 1760.00   -1.30852   1.68842
 1761.00   -1.30965   1.67682
 1762.00   -1.31074   1.66529
 1763.00   -1.31178   1.65382
 1764.00   -1.31277   1.64244
 1765.00   -1.31373   1.63112
 1766.00   -1.31464   1.61987
 1767.00   -1.31551   1.60869
 1768.00   -1.31633   1.59759
 1769.00   -1.31713   1.58655
 1770.00   -1.31788   1.57559
 1771.00   -1.31859   1.56469
 1772.00   -1.31927   1.55387
 1773.00   -1.31992   1.54312
 1774.00   -1.32053   1.53243
 1775.00   -1.32111   1.52182
 1776.00   -1.32165   1.51128
 1777.00   -1.32217   1.50080
 1778.00   -1.32265   1.49040
 1779.00   -1.32311   1.48007
 1780.00   -1.32353   1.46980
 1781.00   -1.32393   1.45960
 1782.00   -1.32430   1.44947
 1783.00   -1.32465   1.43941
 1784.00   -1.32497   1.42942
 1785.00   -1.32526   1.41950
 1786.00   -1.32554   1.40964
