   W          M3-(pi+_n)
 (MeV)       Re        Im
 1880.00   -0.45706   0.31851
 1881.00   -0.45599   0.31702
 1882.00   -0.45494   0.31555
 1883.00   -0.45388   0.31409
 1884.00   -0.45284   0.31265
 1885.00   -0.45180   0.31123
 1886.00   -0.45077   0.30982
 1887.00   -0.44975   0.30842
 1888.00   -0.44873   0.30704
 1889.00   -0.44772   0.30568
 1890.00   -0.44671   0.30433
 1891.00   -0.44572   0.30299
 1892.00   -0.44473   0.30167
 1893.00   -0.44374   0.30036
 1894.00   -0.44276   0.29906
 1895.00   -0.44179   0.29777
 1896.00   -0.44083   0.29650
 1897.00   -0.43987   0.29525
 1898.00   -0.43892   0.29400
 1899.00   -0.43797   0.29277
 1900.00   -0.43703   0.29155
 1901.00   -0.43610   0.29034
 1902.00   -0.43517   0.28914
 1903.00   -0.43425   0.28796
 1904.00   -0.43334   0.28678
 1905.00   -0.43243   0.28562
 1906.00   -0.43153   0.28447
 1907.00   -0.43063   0.28333
 1908.00   -0.42974   0.28220
 1909.00   -0.42886   0.28109
 1910.00   -0.42798   0.27998
 1911.00   -0.42711   0.27888
 1912.00   -0.42625   0.27780
 1913.00   -0.42539   0.27672
 1914.00   -0.42453   0.27566
 1915.00   -0.42369   0.27460
 1916.00   -0.42284   0.27356
 1917.00   -0.42201   0.27252
 1918.00   -0.42118   0.27149
 1919.00   -0.42035   0.27048
 1920.00   -0.41953   0.26947
 1921.00   -0.41872   0.26847
 1922.00   -0.41791   0.26748
 1923.00   -0.41711   0.26650
 1924.00   -0.41631   0.26553
 1925.00   -0.41552   0.26457
 1926.00   -0.41473   0.26362
 1927.00   -0.41395   0.26267
 1928.00   -0.41318   0.26173
 1929.00   -0.41241   0.26081
