   W         E6-(pi+_n)
 (MeV)      Re         Im
 1583.0    0.075785  -0.004433
 1584.0    0.075790  -0.004435
 1585.0    0.075794  -0.004437
 1586.0    0.075797  -0.004439
 1587.0    0.075800  -0.004441
 1588.0    0.075803  -0.004443
 1589.0    0.075806  -0.004444
 1590.0    0.075809  -0.004446
 1591.0    0.075811  -0.004448
 1592.0    0.075813  -0.004449
 1593.0    0.075815  -0.004451
 1594.0    0.075817  -0.004453
 1595.0    0.075818  -0.004454
 1596.0    0.075819  -0.004456
 1597.0    0.075819  -0.004457
 1598.0    0.075820  -0.004459
 1599.0    0.075820  -0.004461
 1600.0    0.075821  -0.004462
 1601.0    0.075820  -0.004463
 1602.0    0.075820  -0.004465
 1603.0    0.075819  -0.004466
 1604.0    0.075818  -0.004467
 1605.0    0.075818  -0.004469
 1606.0    0.075816  -0.004470
 1607.0    0.075814  -0.004471
 1608.0    0.075812  -0.004472
 1609.0    0.075810  -0.004474
 1610.0    0.075809  -0.004475
 1611.0    0.075806  -0.004476
 1612.0    0.075803  -0.004477
 1613.0    0.075800  -0.004478
 1614.0    0.075797  -0.004479
 1615.0    0.075794  -0.004480
 1616.0    0.075790  -0.004481
 1617.0    0.075786  -0.004482
 1618.0    0.075782  -0.004482
 1619.0    0.075778  -0.004483
 1620.0    0.075774  -0.004484
 1621.0    0.075769  -0.004485
 1622.0    0.075764  -0.004485
 1623.0    0.075759  -0.004486
 1624.0    0.075754  -0.004487
 1625.0    0.075749  -0.004487
 1626.0    0.075743  -0.004488
 1627.0    0.075737  -0.004488
 1628.0    0.075731  -0.004489
 1629.0    0.075725  -0.004489
 1630.0    0.075719  -0.004490
 1631.0    0.075712  -0.004490
 1632.0    0.075706  -0.004490
 1633.0    0.075699  -0.004490
 1634.0    0.075692  -0.004491
 1635.0    0.075685  -0.004491
 1636.0    0.075677  -0.004491
 1637.0    0.075669  -0.004491
 1638.0    0.075661  -0.004491
 1639.0    0.075654  -0.004491
 1640.0    0.075646  -0.004491
 1641.0    0.075637  -0.004491
 1642.0    0.075628  -0.004491
 1643.0    0.075620  -0.004490
 1644.0    0.075611  -0.004490
 1645.0    0.075602  -0.004490
 1646.0    0.075593  -0.004490
 1647.0    0.075583  -0.004489
 1648.0    0.075574  -0.004489
 1649.0    0.075564  -0.004488
 1650.0    0.075555  -0.004488
 1651.0    0.075545  -0.004487
 1652.0    0.075534  -0.004487
 1653.0    0.075524  -0.004486
 1654.0    0.075514  -0.004485
 1655.0    0.075504  -0.004485
 1656.0    0.075493  -0.004484
 1657.0    0.075481  -0.004483
 1658.0    0.075470  -0.004482
 1659.0    0.075459  -0.004481
 1660.0    0.075448  -0.004480
 1661.0    0.075437  -0.004479
 1662.0    0.075425  -0.004477
 1663.0    0.075413  -0.004476
 1664.0    0.075401  -0.004475
 1665.0    0.075390  -0.004474
 1666.0    0.075377  -0.004472
 1667.0    0.075365  -0.004471
 1668.0    0.075352  -0.004469
 1669.0    0.075340  -0.004468
 1670.0    0.075327  -0.004466
 1671.0    0.075314  -0.004465
 1672.0    0.075301  -0.004463
 1673.0    0.075288  -0.004461
 1674.0    0.075275  -0.004459
 1675.0    0.075262  -0.004458
 1676.0    0.075248  -0.004456
 1677.0    0.075234  -0.004453
 1678.0    0.075220  -0.004451
 1679.0    0.075206  -0.004449
 1680.0    0.075193  -0.004447
 1681.0    0.075178  -0.004445
 1682.0    0.075164  -0.004443
 1683.0    0.075150  -0.004440
 1684.0    0.075135  -0.004438
 1685.0    0.075121  -0.004435
 1686.0    0.075106  -0.004433
 1687.0    0.075091  -0.004430
 1688.0    0.075076  -0.004427
 1689.0    0.075061  -0.004425
 1690.0    0.075046  -0.004422
 1691.0    0.075030  -0.004419
 1692.0    0.075015  -0.004416
 1693.0    0.074999  -0.004413
 1694.0    0.074984  -0.004410
 1695.0    0.074968  -0.004407
 1696.0    0.074952  -0.004403
 1697.0    0.074936  -0.004400
 1698.0    0.074920  -0.004397
 1699.0    0.074904  -0.004393
 1700.0    0.074888  -0.004390
 1701.0    0.074871  -0.004386
 1702.0    0.074855  -0.004382
 1703.0    0.074838  -0.004379
 1704.0    0.074822  -0.004375
