   W         M1-(pi+_n)
 (MeV)      Re      Im
 1899.0   -1.278   0.486
 1900.0   -1.275   0.486
 1901.0   -1.272   0.486
 1902.0   -1.269   0.486
 1903.0   -1.266   0.487
 1904.0   -1.263   0.487
 1905.0   -1.260   0.487
 1906.0   -1.257   0.488
 1907.0   -1.254   0.488
 1908.0   -1.251   0.489
 1909.0   -1.248   0.489
 1910.0   -1.245   0.490
 1911.0   -1.242   0.491
 1912.0   -1.239   0.492
 1913.0   -1.236   0.492
 1914.0   -1.233   0.493
 1915.0   -1.230   0.494
 1916.0   -1.227   0.495
 1917.0   -1.224   0.496
 1918.0   -1.222   0.497
 1919.0   -1.219   0.498
 1920.0   -1.216   0.499
 1921.0   -1.213   0.500
 1922.0   -1.211   0.501
 1923.0   -1.208   0.502
 1924.0   -1.206   0.503
 1925.0   -1.203   0.504
 1926.0   -1.201   0.506
 1927.0   -1.198   0.507
 1928.0   -1.196   0.508
 1929.0   -1.193   0.510
 1930.0   -1.191   0.511
 1931.0   -1.188   0.512
 1932.0   -1.186   0.514
 1933.0   -1.184   0.515
 1934.0   -1.182   0.516
 1935.0   -1.179   0.518
 1936.0   -1.177   0.519
 1937.0   -1.175   0.521
 1938.0   -1.173   0.522
 1939.0   -1.171   0.524
 1940.0   -1.169   0.525
 1941.0   -1.167   0.527
 1942.0   -1.165   0.528
 1943.0   -1.163   0.530
 1944.0   -1.161   0.531
 1945.0   -1.159   0.533
 1946.0   -1.157   0.535
 1947.0   -1.156   0.536
 1948.0   -1.154   0.538
 1949.0   -1.152   0.539
 1950.0   -1.150   0.541
 1951.0   -1.149   0.542
 1952.0   -1.147   0.544
 1953.0   -1.146   0.546
 1954.0   -1.144   0.547
 1955.0   -1.143   0.549
 1956.0   -1.141   0.550
 1957.0   -1.140   0.552
 1958.0   -1.138   0.553
 1959.0   -1.137   0.555
 1960.0   -1.136   0.556
 1961.0   -1.134   0.558
 1962.0   -1.133   0.560
 1963.0   -1.132   0.561
 1964.0   -1.130   0.563
 1965.0   -1.129   0.564
 1966.0   -1.128   0.566
 1967.0   -1.127   0.567
 1968.0   -1.126   0.569
 1969.0   -1.125   0.570
 1970.0   -1.124   0.572
 1971.0   -1.123   0.573
