   W         E2-(pi+_n)
 (MeV)      Re      Im
 1828.0    4.610   0.000
 1829.0    4.609   0.000
 1830.0    4.607   0.000
 1831.0    4.606   0.000
 1832.0    4.605   0.000
 1833.0    4.603   0.000
 1834.0    4.602   0.000
 1835.0    4.600   0.000
 1836.0    4.599   0.000
 1837.0    4.598   0.000
 1838.0    4.596   0.000
 1839.0    4.595   0.000
 1840.0    4.594   0.000
 1841.0    4.592   0.000
 1842.0    4.591   0.000
 1843.0    4.590   0.000
 1844.0    4.588   0.000
 1845.0    4.587   0.000
 1846.0    4.586   0.000
 1847.0    4.584   0.000
 1848.0    4.583   0.000
 1849.0    4.582   0.000
 1850.0    4.580   0.000
 1851.0    4.579   0.000
 1852.0    4.578   0.000
 1853.0    4.576   0.000
 1854.0    4.575   0.000
 1855.0    4.574   0.000
 1856.0    4.572   0.000
 1857.0    4.571   0.000
 1858.0    4.570   0.000
 1859.0    4.569   0.000
 1860.0    4.567   0.000
 1861.0    4.566   0.000
 1862.0    4.565   0.000
 1863.0    4.563   0.000
 1864.0    4.562   0.000
 1865.0    4.561   0.000
 1866.0    4.559   0.000
 1867.0    4.558   0.000
 1868.0    4.557   0.000
 1869.0    4.556   0.000
 1870.0    4.554   0.000
 1871.0    4.553   0.000
 1872.0    4.552   0.000
 1873.0    4.551   0.000
 1874.0    4.549   0.000
 1875.0    4.548   0.000
 1876.0    4.547   0.000
 1877.0    4.545   0.000
 1878.0    4.544   0.000
 1879.0    4.543   0.000
 1880.0    4.542   0.000
 1881.0    4.540   0.000
 1882.0    4.539   0.000
 1883.0    4.538   0.000
 1884.0    4.537   0.000
 1885.0    4.535   0.000
 1886.0    4.534   0.000
 1887.0    4.533   0.000
 1888.0    4.532   0.000
 1889.0    4.531   0.000
 1890.0    4.529   0.000
 1891.0    4.528   0.000
 1892.0    4.527   0.000
 1893.0    4.526   0.000
 1894.0    4.524   0.000
 1895.0    4.523   0.000
 1896.0    4.522   0.000
 1897.0    4.521   0.000
 1898.0    4.520   0.000
 1899.0    4.518   0.000
 1900.0    4.517   0.000
 1901.0    4.516   0.000
 1902.0    4.515   0.000
 1903.0    4.514   0.000
 1904.0    4.512   0.000
 1905.0    4.511   0.000
 1906.0    4.510   0.000
 1907.0    4.509   0.000
 1908.0    4.508   0.000
 1909.0    4.506   0.000
 1910.0    4.505   0.000
 1911.0    4.504   0.000
 1912.0    4.503   0.000
 1913.0    4.502   0.000
 1914.0    4.501   0.000
 1915.0    4.499   0.000
 1916.0    4.498   0.000
 1917.0    4.497   0.000
 1918.0    4.496   0.000
 1919.0    4.495   0.000
 1920.0    4.494   0.000
 1921.0    4.492   0.000
 1922.0    4.491   0.000
 1923.0    4.490   0.000
 1924.0    4.489   0.000
 1925.0    4.488   0.000
 1926.0    4.487   0.000
 1927.0    4.486   0.000
 1928.0    4.484   0.000
 1929.0    4.483   0.000
 1930.0    4.482   0.000
 1931.0    4.481   0.000
 1932.0    4.480   0.000
 1933.0    4.479   0.000
 1934.0    4.478   0.000
 1935.0    4.477   0.000
 1936.0    4.475   0.000
 1937.0    4.474   0.000
 1938.0    4.473   0.000
 1939.0    4.472   0.000
 1940.0    4.471   0.000
 1941.0    4.470   0.000
 1942.0    4.469   0.000
 1943.0    4.468   0.000
 1944.0    4.467   0.000
 1945.0    4.466   0.000
 1946.0    4.464   0.000
 1947.0    4.463   0.000
 1948.0    4.462   0.000
 1949.0    4.461   0.000
 1950.0    4.460   0.000
 1951.0    4.459   0.000
 1952.0    4.458   0.000
 1953.0    4.457   0.000
 1954.0    4.456   0.000
 1955.0    4.455   0.000
 1956.0    4.454   0.000
 1957.0    4.453   0.000
 1958.0    4.452   0.000
 1959.0    4.451   0.000
 1960.0    4.449   0.000
 1961.0    4.448   0.000
 1962.0    4.447   0.000
 1963.0    4.446   0.000
 1964.0    4.445   0.000
 1965.0    4.444   0.000
 1966.0    4.443   0.000
 1967.0    4.442   0.000
 1968.0    4.441   0.000
 1969.0    4.440   0.000
 1970.0    4.439   0.000
 1971.0    4.438   0.000
