   W         M1+(pi+_n)
 (MeV)      Re      Im
 1866.0   -1.233   0.346
 1867.0   -1.231   0.343
 1868.0   -1.228   0.341
 1869.0   -1.225   0.338
 1870.0   -1.223   0.336
 1871.0   -1.221   0.334
 1872.0   -1.218   0.331
 1873.0   -1.216   0.329
 1874.0   -1.214   0.326
 1875.0   -1.212   0.324
 1876.0   -1.210   0.321
 1877.0   -1.208   0.319
 1878.0   -1.206   0.317
 1879.0   -1.203   0.314
 1880.0   -1.201   0.312
 1881.0   -1.198   0.309
 1882.0   -1.196   0.307
 1883.0   -1.193   0.305
 1884.0   -1.190   0.302
 1885.0   -1.187   0.300
 1886.0   -1.184   0.298
 1887.0   -1.181   0.296
 1888.0   -1.178   0.293
 1889.0   -1.174   0.291
 1890.0   -1.170   0.289
 1891.0   -1.167   0.287
 1892.0   -1.163   0.285
 1893.0   -1.159   0.282
 1894.0   -1.155   0.280
 1895.0   -1.151   0.278
 1896.0   -1.147   0.276
 1897.0   -1.143   0.274
 1898.0   -1.139   0.272
 1899.0   -1.135   0.270
 1900.0   -1.131   0.267
 1901.0   -1.128   0.265
 1902.0   -1.124   0.263
 1903.0   -1.120   0.261
 1904.0   -1.117   0.259
 1905.0   -1.113   0.257
 1906.0   -1.110   0.255
 1907.0   -1.106   0.253
 1908.0   -1.103   0.251
 1909.0   -1.099   0.249
 1910.0   -1.095   0.247
 1911.0   -1.091   0.245
 1912.0   -1.087   0.243
 1913.0   -1.083   0.241
 1914.0   -1.079   0.239
 1915.0   -1.075   0.237
 1916.0   -1.070   0.235
 1917.0   -1.066   0.233
 1918.0   -1.061   0.231
 1919.0   -1.056   0.229
 1920.0   -1.051   0.228
 1921.0   -1.046   0.226
 1922.0   -1.041   0.224
 1923.0   -1.035   0.222
 1924.0   -1.030   0.220
 1925.0   -1.025   0.219
 1926.0   -1.019   0.217
 1927.0   -1.014   0.215
 1928.0   -1.009   0.213
 1929.0   -1.004   0.212
 1930.0   -0.999   0.210
 1931.0   -0.994   0.208
 1932.0   -0.989   0.206
 1933.0   -0.984   0.205
 1934.0   -0.979   0.203
 1935.0   -0.975   0.201
 1936.0   -0.970   0.200
 1937.0   -0.965   0.198
 1938.0   -0.960   0.196
 1939.0   -0.955   0.195
 1940.0   -0.950   0.193
 1941.0   -0.945   0.191
 1942.0   -0.939   0.190
 1943.0   -0.933   0.188
 1944.0   -0.928   0.187
 1945.0   -0.922   0.185
 1946.0   -0.916   0.184
 1947.0   -0.910   0.182
 1948.0   -0.904   0.181
 1949.0   -0.899   0.179
 1950.0   -0.893   0.178
 1951.0   -0.888   0.176
 1952.0   -0.882   0.175
 1953.0   -0.877   0.173
 1954.0   -0.872   0.172
 1955.0   -0.867   0.170
 1956.0   -0.862   0.169
 1957.0   -0.857   0.167
 1958.0   -0.851   0.166
 1959.0   -0.846   0.165
 1960.0   -0.841   0.163
 1961.0   -0.835   0.162
 1962.0   -0.829   0.160
 1963.0   -0.823   0.159
 1964.0   -0.817   0.158
 1965.0   -0.811   0.156
 1966.0   -0.805   0.155
 1967.0   -0.799   0.154
 1968.0   -0.793   0.153
 1969.0   -0.786   0.151
 1970.0   -0.780   0.150
 1971.0   -0.774   0.149
