   W         E3+(pi+_n)
 (MeV)      Re      Im
 1580.0    0.279   0.007
 1581.0    0.279   0.007
 1582.0    0.279   0.007
 1583.0    0.278   0.007
 1584.0    0.278   0.007
 1585.0    0.278   0.007
 1586.0    0.278   0.007
 1587.0    0.278   0.007
 1588.0    0.278   0.007
 1589.0    0.277   0.007
 1590.0    0.277   0.007
 1591.0    0.277   0.007
 1592.0    0.277   0.007
 1593.0    0.277   0.007
 1594.0    0.277   0.007
 1595.0    0.276   0.007
 1596.0    0.276   0.008
 1597.0    0.276   0.008
 1598.0    0.276   0.008
 1599.0    0.276   0.008
 1600.0    0.275   0.008
 1601.0    0.275   0.008
 1602.0    0.275   0.008
 1603.0    0.275   0.008
 1604.0    0.275   0.008
 1605.0    0.275   0.008
 1606.0    0.274   0.008
 1607.0    0.274   0.008
 1608.0    0.274   0.008
 1609.0    0.274   0.008
 1610.0    0.274   0.008
 1611.0    0.274   0.008
 1612.0    0.273   0.008
 1613.0    0.273   0.008
 1614.0    0.273   0.008
 1615.0    0.273   0.008
 1616.0    0.273   0.009
 1617.0    0.272   0.009
 1618.0    0.272   0.009
 1619.0    0.272   0.009
 1620.0    0.272   0.009
 1621.0    0.272   0.009
 1622.0    0.272   0.009
 1623.0    0.271   0.009
 1624.0    0.271   0.009
 1625.0    0.271   0.009
 1626.0    0.271   0.009
 1627.0    0.271   0.009
 1628.0    0.270   0.009
 1629.0    0.270   0.009
 1630.0    0.270   0.009
 1631.0    0.270   0.009
 1632.0    0.270   0.009
 1633.0    0.270   0.009
 1634.0    0.269   0.009
 1635.0    0.269   0.010
 1636.0    0.269   0.010
 1637.0    0.269   0.010
 1638.0    0.269   0.010
 1639.0    0.268   0.010
 1640.0    0.268   0.010
 1641.0    0.268   0.010
 1642.0    0.268   0.010
 1643.0    0.268   0.010
 1644.0    0.267   0.010
 1645.0    0.267   0.010
 1646.0    0.267   0.010
 1647.0    0.267   0.010
 1648.0    0.267   0.010
 1649.0    0.267   0.010
 1650.0    0.266   0.010
 1651.0    0.266   0.010
 1652.0    0.266   0.011
 1653.0    0.266   0.011
 1654.0    0.266   0.011
 1655.0    0.265   0.011
 1656.0    0.265   0.011
 1657.0    0.265   0.011
 1658.0    0.265   0.011
 1659.0    0.265   0.011
 1660.0    0.264   0.011
 1661.0    0.264   0.011
 1662.0    0.264   0.011
 1663.0    0.264   0.011
 1664.0    0.264   0.011
 1665.0    0.263   0.011
 1666.0    0.263   0.011
 1667.0    0.263   0.012
