tag channel= 203, eff= 0.641000
tag channel= 204, eff= 0.643604
tag channel= 205, eff= 0.639151
tag channel= 206, eff= 0.641414
tag channel= 207 is bad
tag channel= 208, eff= 0.636759
tag channel= 209, eff= 0.637654
Eg=697.13-727.42 W=1479.4-1498.5
Eg=712.28+/-15.14  W=1488.92+/-9.54
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 1.3585 0.0113 0.0132
-0.900 154.16 1.4675 0.0090 0.0116
-0.833 146.44 1.6440 0.0091 0.0123
-0.767 140.06 1.8853 0.0098 0.0136
-0.700 134.43 2.1314 0.0104 0.0149
-0.633 129.30 2.4129 0.0109 0.0162
-0.567 124.52 2.7144 0.0114 0.0177
-0.500 120.00 3.0076 0.0120 0.0192
-0.433 115.68 3.2157 0.0123 0.0202
-0.367 111.51 3.4165 0.0126 0.0212
-0.300 107.46 3.5901 0.0129 0.0221
-0.233 103.49 3.7479 0.0132 0.0229
-0.167  99.59 3.8294 0.0133 0.0233
-0.100  95.74 3.9120 0.0134 0.0237
-0.033  91.91 3.9044 0.0134 0.0237
 0.033  88.09 3.8819 0.0134 0.0236
 0.100  84.26 3.8539 0.0134 0.0234
 0.167  80.41 3.7304 0.0131 0.0228
 0.233  76.51 3.6111 0.0128 0.0222
 0.300  72.54 3.4698 0.0126 0.0214
 0.367  68.49 3.3058 0.0122 0.0206
 0.433  64.32 3.1333 0.0119 0.0197
 0.500  60.00 2.9247 0.0115 0.0186
 0.567  55.48 2.7462 0.0114 0.0179
 0.633  50.70 2.5517 0.0115 0.0172
 0.700  45.57 2.3034 0.0117 0.0164
 0.767  39.94 1.9957 0.0118 0.0154
 0.833  33.56 1.6879 0.0118 0.0145
 0.900  25.84 1.3252 0.0124 0.0141
 0.967  14.84 1.0635 0.0231 0.0237
TXS=35.094+/-0.029 ub

tag channel= 196, eff= 0.642325
tag channel= 197, eff= 0.640000
tag channel= 198, eff= 0.642000
tag channel= 199, eff= 0.638031
tag channel= 200, eff= 0.633159
tag channel= 201, eff= 0.630561
tag channel= 202, eff= 0.640538
Eg=727.42-757.54 W=1498.5-1517.2
Eg=742.48+/-15.06  W=1507.83+/-9.37
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 1.7152 0.0127 0.0153
-0.900 154.16 1.8346 0.0101 0.0136
-0.833 146.44 2.0119 0.0102 0.0143
-0.767 140.06 2.2007 0.0106 0.0153
-0.700 134.43 2.4013 0.0111 0.0163
-0.633 129.30 2.6557 0.0115 0.0176
-0.567 124.52 2.9433 0.0119 0.0189
-0.500 120.00 3.1669 0.0122 0.0200
-0.433 115.68 3.4050 0.0126 0.0212
-0.367 111.51 3.6321 0.0129 0.0223
-0.300 107.46 3.7995 0.0132 0.0231
-0.233 103.49 3.9581 0.0135 0.0239
-0.167  99.59 4.0402 0.0136 0.0243
-0.100  95.74 4.1186 0.0137 0.0247
-0.033  91.91 4.2017 0.0139 0.0252
 0.033  88.09 4.1719 0.0138 0.0250
 0.100  84.26 4.1643 0.0139 0.0250
 0.167  80.41 4.0707 0.0137 0.0245
 0.233  76.51 3.9395 0.0134 0.0239
 0.300  72.54 3.8041 0.0132 0.0232
 0.367  68.49 3.6359 0.0129 0.0223
 0.433  64.32 3.4406 0.0125 0.0213
 0.500  60.00 3.2164 0.0122 0.0202
 0.567  55.48 3.0480 0.0123 0.0196
 0.633  50.70 2.7845 0.0122 0.0185
 0.700  45.57 2.5533 0.0126 0.0179
 0.767  39.94 2.2287 0.0127 0.0169
 0.833  33.56 1.8909 0.0125 0.0157
 0.900  25.84 1.4538 0.0131 0.0150
 0.967  14.84 1.1125 0.0237 0.0244
TXS=38.350+/-0.030 ub

tag channel= 189, eff= 0.644963
tag channel= 190, eff= 0.648011
tag channel= 191, eff= 0.623000
tag channel= 192 is bad
tag channel= 193, eff= 0.640000
tag channel= 194, eff= 0.642000
tag channel= 195, eff= 0.642276
Eg=757.54-787.46 W=1517.2-1535.6
Eg=772.50+/-14.96  W=1526.40+/-9.20
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 1.8663 0.0142 0.0170
-0.900 154.16 2.0314 0.0114 0.0153
-0.833 146.44 2.1905 0.0113 0.0158
-0.767 140.06 2.3764 0.0118 0.0167
-0.700 134.43 2.5196 0.0122 0.0176
-0.633 129.30 2.6866 0.0125 0.0183
-0.567 124.52 2.9237 0.0128 0.0195
-0.500 120.00 3.1191 0.0130 0.0203
-0.433 115.68 3.3102 0.0133 0.0212
