   W                 E2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1616.346   -2.786    0.140   -1.859    0.216
1618.654   -2.734    0.142   -1.800    0.224
1621.058   -2.715    0.145   -1.866    0.217
1623.395   -2.586    0.143   -1.882    0.200
1625.734   -2.596    0.126   -1.756    0.182
1628.064   -2.599    0.133   -1.799    0.192
1630.385   -2.482    0.139   -2.031    0.167
1632.702   -2.310    0.140   -2.024    0.201
1635.011   -2.305    0.155   -2.227    0.202
1637.311   -2.268    0.141   -1.913    0.241
1639.601   -2.148    0.118   -1.546    0.144
1641.894   -2.084    0.113   -1.482    0.136
1644.121   -2.052    0.128   -1.586    0.137
1646.442   -2.029    0.125   -1.577    0.136
1648.692   -1.886    0.131   -1.756    0.128
1650.950   -1.834    0.131   -1.711    0.127
1653.193   -1.896    0.138   -1.791    0.130
1655.433   -1.783    0.141   -1.807    0.129
1657.665   -1.530    0.206   -1.846    0.124
1659.888   -1.579    0.199   -1.816    0.125
1662.102   -1.605    0.209   -1.780    0.135
1664.308   -1.499    0.206   -1.771    0.126
1666.517   -1.382    0.155   -1.883    0.112
1668.660   -1.368    0.156   -1.866    0.113
1670.891   -1.346    0.153   -1.908    0.115
1673.063   -1.331    0.153   -1.870    0.115
1675.232   -0.994    0.213   -1.920    0.095
1677.392   -1.306    0.197   -1.927    0.108
1679.545   -1.248    0.200   -1.926    0.107
1681.694   -1.193    0.170   -1.953    0.096
1683.829   -1.230    0.147   -1.976    0.099
1685.957   -1.166    0.148   -2.002    0.097
1688.087   -1.150    0.146   -1.947    0.097
1690.159   -0.864    0.168   -1.983    0.091
1692.306   -1.033    0.170   -2.157    0.097
1694.400   -0.994    0.166   -2.121    0.096
1696.492   -1.121    0.161   -2.111    0.108
1698.576   -1.045    0.165   -2.087    0.105
1700.646   -0.994    0.159   -2.003    0.105
1702.714   -0.981    0.157   -1.963    0.106
1704.773   -0.955    0.155   -1.930    0.106
1706.825   -0.926    0.151   -1.883    0.104
1708.874   -0.687    0.200   -1.925    0.099
1710.872   -0.688    0.191   -1.878    0.096
1712.938   -0.678    0.178   -1.856    0.095
1714.953   -0.631    0.175   -1.819    0.093
1716.965   -0.641    0.193   -1.722    0.147
1718.969   -0.673    0.208   -1.697    0.167
1724.930   -0.400    0.168   -1.627    0.121
1726.904   -0.314    0.172   -1.600    0.119
1730.827   -0.290    0.181   -1.325    0.142
1735.678   -0.289    0.175   -1.231    0.137
1739.528   -0.150    0.156   -1.232    0.135
1745.241   -0.312    0.168   -1.812    0.145
1749.001   -0.414    0.161   -1.747    0.139
1753.678    0.224    0.150   -1.541    0.124
1759.212    0.793    0.139   -1.239    0.124
1763.766    0.763    0.126   -1.159    0.121
1767.385    0.745    0.116   -1.210    0.120
1770.965    0.720    0.117   -1.124    0.120
1774.511    0.719    0.138   -1.033    0.119
1778.029    0.662    0.144   -1.252    0.149
1781.509    0.741    0.102   -0.996    0.121
1784.971    0.601    0.114   -0.897    0.106
1790.094    0.701    0.097   -0.922    0.121
1793.471    0.803    0.093   -0.871    0.123
1796.806    0.735    0.094   -0.914    0.120
1800.129    0.636    0.121   -0.704    0.106
1803.415    0.610    0.114   -0.740    0.107
1806.669    0.720    0.105   -0.908    0.144
1809.896    0.626    0.093   -0.516    0.156
1813.082    0.634    0.086   -0.498    0.124
1816.251    0.704    0.097   -0.464    0.130
1819.390    0.687    0.125   -0.533    0.140
1822.497    0.715    0.078   -0.468    0.121
1825.562    0.585    0.095   -0.169    0.162
1828.623    0.589    0.097   -0.153    0.158
1831.643    0.596    0.095   -0.143    0.156
1834.637    0.597    0.097   -0.141    0.150
1838.336    0.717    0.174   -0.400    0.203
1841.997    0.725    0.166   -0.327    0.206
1844.898    0.704    0.181   -0.307    0.189
1847.754    0.521    0.107   -0.453    0.158
1852.035    0.544    0.114   -0.483    0.164
1854.976    0.537    0.111   -0.409    0.165
1858.008    0.581    0.112   -0.429    0.165
1861.147    0.598    0.113   -0.403    0.164
1864.365    0.560    0.115   -0.306    0.174
1869.276    0.487    0.134   -0.132    0.267
1872.541    0.480    0.105   -0.203    0.173
1875.750    0.495    0.111   -0.124    0.193
1878.864    0.571    0.109   -0.000    0.177
1887.394    0.753    0.093   -0.172    0.175
1889.902    0.730    0.096   -0.023    0.208
1894.385    0.698    0.119   -0.164    0.114
